unit,description,price,website,search_term,scrape_timestamp
Lata 170g,Filete de Bonito FRESCOMAR en Aceite Vegetal L...,S/ 4.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
,Snack para Gatos GNAWLERS Bonito 4un 15g,S/ 12.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Caja 170g,Trozos de Bonito Ahumado NATURAL FISH Caja 170...,S/ 16.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Lata 170g,Desmenuzado de Bonito en Aceitunas Verdes NATU...,S/ 16.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Porciones de Bonito con Piel PESCANOVA Bolsa 5...,S/ 10.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 1 kg aprox.,Pescado Bonito Entero PESCANOVA PV,S/ 7.50 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 3 kg aprox.,Pescado Bonito Entero Fresco,S/ 7.50 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 1Kg,Filete de Tilapia BELL'S Bolsa 1Kg,S/ 20.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Filete de Trucha BELL'S Congelado con Piel Bol...,S/ 29.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 1Kg,Filete de Basa BELL'S Bolsa 1Kg,S/ 15.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Trozos De Salmón AQUA Bolsa 500g,S/ 49.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
,Porciones de Salmón PESCATORE Bolsa 500g,S/ 17.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.4 kg aprox.,Trucha Eviscerada,S/ 18.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.3 kg aprox.,Filete de Tilapia Importado,S/ 25.50 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 400g,Porciones de Atún BELL'S Bolsa 400g,S/ 24.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Porciones de Perico BELL'S Bolsa 500g,S/ 25.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.4 kg aprox.,Trucha Eviscerada Congelada,S/ 18.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 300g,Perico en Porciones PESCANOVA Congelado Bolsa ...,S/ 14.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
,Porciones de Trucha BELL'S Bolsa 500g,S/ 32.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 300g,Langostinos Precocidos BELL'S Bolsa 300g,S/ 24.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 300g,Langostinos Crudos AZUL MARINO Bolsa 300g,S/ 19.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 1 kg aprox.,Filete de Salmón PESCATORE x Kg,S/ 35.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.3 kg aprox.,Filete de Salmón Fresco,S/ 69.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Mixtura de Mariscos BELL'S Bolsa 500g,S/ 19.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.2 kg aprox.,Filete de Basa,S/ 15.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Paquete 300g,Mejillones ALIPOFRESCO Paquete 300g,S/ 10.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 240g,Croquetas Langostino Ajillo HIBERO 240g Bolsa ...,S/ 9.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 454g,Filete de Tilapia Apanada SANTA PRISCILA Bolsa...,S/ 29.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Presentación 0.3 kg aprox.,Trucha Dehuesada,S/ 34.90 x kg,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 454g,Langostinos Pelado y Desvenado Grandes SANTA P...,S/ 29.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Medallones de Tollo Azul UMI FOODS Bolsa 500g,S/ 20.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
,Filete Empanizado Alaska Pollock PESCATORE Bol...,S/ 17.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Anillas de Calamar Rebozadas PESCANOVA Bolsa 5...,S/ 15.50 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
Bolsa 500g,Mixtura de Mariscos GOVIMAR Bolsa 500g,S/ 17.90 un,plaza_vea,BONITO,2024-12-03 22:44:46.971082
