unit,description,price,website,search_term,scrape_timestamp
Presentación 1.2 kg aprox.,Filete de Pechuga de Pollo Congelado SAN FERNA...,S/ 22.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 1Kg,Filete de Pechuga Importado SADIA Bolsa 1Kg,S/ 16.50 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 1Kg,Filete de Tilapia BELL'S Bolsa 1Kg,S/ 20.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 150g,Filete de Atún FLORIDA en Agua 110kcal Lata 15...,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1.2 kg aprox.,Filete Pechuga Corte Mariposa Empacada al vací...,S/ 25.40 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 200g,Champiñon Picado BELL'S Bandeja 200g,S/ 5.19 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 200g,Aguaymanto Pelado BELL'S Bandeja 200g,S/ 4.29 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
,Filete de Atún BELL'S en Aceite Lata 150gr,S/ 4.60 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
,Filete de Atún BELL'S en Agua Lata 150gr,S/ 4.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 150g,Filete de Atún en Agua CAMPOMAR Lata 150g,S/ 5.60 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 150g,Filete de Atún CAMPOMAR en Aceite Vegetal Lata...,S/ 5.60 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 500g,Filete de Trucha BELL'S Congelado con Piel Bol...,S/ 29.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 1Kg,Filete de Basa BELL'S Bolsa 1Kg,S/ 15.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 250g,Ajos Pelados EL SABOR Arequipeños Bandeja 250g,S/ 9.99 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1 kg aprox.,Filete de Pechuga de Pavita,S/ 26.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 8Kg,Comida para Gatos CAT CHOW Adulto Esterilizado...,S/ 104.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún FLORIDA en Aceite Girasol Lata ...,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Pack 3un,Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 13 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 170g,Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,S/ 4.80 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún en Aceite Vegetal FANNY Lata 14...,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1.2 kg aprox.,Filete Pierna Pollo Sin Piel Empacada al vacío...,S/ 22.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1.2 kg aprox.,Filete Pierna Pollo con Piel Empacada al vacío...,S/ 20.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 6 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 0.7 kg aprox.,Filete de Pechuga de Pollo ARTISAN Libre de An...,S/ 37.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140g,Filete de Atún con Agua y Sal PRIMOR Lata 140g,S/ 5.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 822g,Conserva de Durazno en Mitades ACONCAGUA en Al...,S/ 10.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 9Kg,Comida para Gatos RICOCAT Gatitos Carne Pescad...,S/ 85.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Pack 3un,Filete de Atún en Agua REAL Tripack Lata 80g,S/ 12.40 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 0.3 kg aprox.,Filete de Tilapia Importado,S/ 25.50 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1 kg aprox.,Filete de Muslo de Pavita,S/ 24.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1 kg aprox.,Pescado Bonito Entero PESCANOVA PV,S/ 7.50 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 156g,Alimento Húmedo para Gatos FELIX Paté Atún y P...,S/ 6.50 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 80g,Filete de Atún REAL en Aceite de Girasol Lata ...,S/ 13.09 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Frasco 160g,Filete de Atún Artesanal CAMPOMAR Gourmet Fras...,S/ 7.40 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 200g,Champiñón Crimini Picado PACCU Bandeja 200g,S/ 6.99 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Frasco 430g,Conserva BELL'S Palmitos Enteros en Salmuera F...,S/ 13.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 250g,Ajo Entero BELL'S Pelado Bandeja 250g,S/ 14.99 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 3 kg aprox.,Pescado Bonito Entero Fresco,S/ 7.50 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 250g,Aceitunas en Conserva BELL'S Botija deshuesada...,S/ 9.40 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140un,Filete de Atún Light REAL Lata 140g,S/ 6.40 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Paquete 12un,Filete de Atún FLORIDA en Agua Paquete 12un,S/ 70.80 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Paquete 2un,Filete de Atún CAMPOMAR en Aceite Lata 150g Pa...,S/ 12 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 1 kg aprox.,Filete de Salmón PESCATORE x Kg,S/ 35.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Presentación 0.3 kg aprox.,Filete de Salmón Fresco,S/ 69.90 x kg,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bandeja 400g,Olluco Picado BELL'S Bandeja 400g,S/ 9.59 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 432g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 9.90 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 140un,Filete de Atún REAL en Aceite Girasol Lata 140...,S/ 6.40 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Bolsa 620g,Filete de Pechuga de Pollo Criollo REDONDOS Bo...,S/ 17.50 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
Lata 248g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 7.60 un,plaza_vea,FILETE DE PESCADO EN CONSERVA,2024-12-03 23:06:59.681295
