description,price,website,search_term,scrape_timestamp
Suerox Bebida Hidratante Sin Azúcar Manzana 630ml,S/ 6.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Suerox Bebida Hidratante Sin Azúcar Fresa Kiwi 630ml,S/ 6.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Suerox Bebida Hidratante Sin Azúcar Mora Azul 630ml,S/ 6.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Rehidratante Sporade Uva 500 ml,S/ 3.20,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Rehidratante Sporade Blueberry Tapa Plana 500 ml,S/ 3.20,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Rehidratante Sporade Tropical Tapa Plana 500 ml,S/ 3.20,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Rehidratante Sporade Mandarina Tapa Plana 500 ml,S/ 3.20,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Rehidratante Powerade Multifrutas 600 Ml),S/ 16.80,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Rehidratante Powerade Uva 600 Ml),S/ 16.80,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Rehidratante Powerade Limon 600 Ml),S/ 16.80,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Rehidratante Powerade Maracuya 600 Ml,S/ 16.80,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Rehidratante Powerade Mora Azul 600 Ml),S/ 16.80,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (2 Rehidratante Sporade Tropical Tapa Plana 1 Lt),S/ 9.00,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (1 Rehidratante Sporade Tropical Tapa Plana 500Ml + 1 Agua Mineral San Mateo Sin Gas 2.5Lt),S/ 6.00,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (1 Rehidratante Sporade Mandarina Tapa Plana 500Ml + 1 Agua Mineral San Mateo Sin Gas 2.5Lt),S/ 6.00,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Gatorade Apple Ice 500 ml,S/ 3.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Gatorade Mandarina 500 ml,S/ 3.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Gatorade Tropical Fruit 500 ml,S/ 3.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Gatorade Tropical Fruit 1 L,S/ 6.10,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (3 Gatorade Apple Ice x 500 Ml + 3 Gatorade Mandarina x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (3 Gatorade Apple Ice x 500 Ml + 3 Gatorade Tropical Fruit x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (3 Gatorade Apple Ice x 500 Ml + 3 Gatorade Cool Blue x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (3 Gatorade Mandarina x 500 Ml + 3 Gatorade Tropical Fruit x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (3 Gatorade Mandarina x 500 Ml + 3 Gatorade Cool Blue x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Gatorade Apple Ice x 500 Ml),S/ 18.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Gatorade Mandarina x 500 Ml),S/ 21.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Gatorade Tropical Fruit x 500 Ml),S/ 21.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Pack (6 Gatorade Cool Blue x 500 Ml),S/ 21.60,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Bebida Energizante Red Bull 355 ml,S/ 10.90,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Bebida Energizante Red Bull 250 ml,S/ 8.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Bebida Energizante Red Bull Sugar Free 250 ml,S/ 8.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Bebida Energizante Red Bull Watermelon Edition 250 ml,S/ 8.50,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
Bebida Bio Amayu Camu Camu 300 ml,S/ 4.00,tambo,BEBIDA HIDRATANTE,2024-12-05 01:02:09.091838
