description,price,website,search_term,scrape_timestamp
Cheesecake De Maracuya Tambo,S/ 4.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Cheesecake De Maracuya),S/ 9.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (3 Cheesecake De Maracuya),S/ 14.70,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (5 Cheesecake De Maracuya),S/ 24.50,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Jugo Epic Mango Maracuya 380 ml,S/ 5.60,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
RTD Chilcano Portón Maracuya 355 ml,S/ 11.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Jugo Epic Mango Maracuya 250 ml,S/ 4.20,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Helado Frio Rico Maracuya Paleta 93 ml,S/ 6.00,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Hamburguesa Pollo + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 9.10,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Empanada Mixta + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 7.40,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Pan Pollo Deshilachado + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 9.00,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Empanada De Carne + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 7.40,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Empanada De Pollo + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 7.40,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Rtd Chilcano Tabernero Limon x 275 Ml + 2 Rtd Chilcano Tabernero Maracuya x 275 Ml),S/ 11.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Rtd Chilcano Tabernero Limon x 275 Ml + 1 Rtd Chilcano Tabernero Maracuya x 275 Ml),S/ 15.00,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Rtd Chilcano Porton Maracuya x 355 Ml + 1 Rtd Chilcano Porton Mango Lata x 355 Ml),S/ 23.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Tres Leches + 1 Torta De Chocolate + 1 Torta Helada + 1 Torta Selva Negra + 1 Cheesecake De Maracuya),S/ 24.50,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Rtd Chilcano Tabernero Maracuya x 275 Ml),S/ 15.00,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Piscano Maracuyá 275 ml,S/ 7.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
RTD Chilcano Tabernero Maracuyá 275 ml,S/ 7.50,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (6 Rehidratante Powerade Maracuya 600 Ml,S/ 16.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Rtd xtasis Maracuya Botella x 2 Lt,S/ 10.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Party Box Maracuya Cj x 3 Lt,S/ 36.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Rtd Piscano Maracuya x 275 Ml),S/ 9.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (3 Rtd Piscano Maracuya X 275 Ml),S/ 13.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (3 Rtd Chilcano Tabernero Maracuya x 275 Ml),S/ 11.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Jugos Epic Mango Maracuya 250 Ml + Empanadas Clásicas (3 Pollo/3 Carne)),S/ 19.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Rtd Chilcano Tabernero Limon x 275 Ml + 1 Rtd Chilcano Tabernero Maracuya x 275 Ml),S/ 11.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 jugo Mango Maracuyá Epic 380 gr),S/ 9.90,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack Rtd Chilcano Porton (1 Maracuya x 355 Ml + 1 Frutos Rojos Lata x 355 Ml),S/ 23.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (1 Rtd Chilcano Porton Maracuya x 355 Ml + 1 Rtd Chilcano Porton Limon x 355 Ml),S/ 23.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
Pack (2 Rtd Chilcano Porton Maracuya x 355 Ml),S/ 23.80,tambo,MARACUYÁ,2024-12-05 00:04:49.043430
