description,price,website,search_term,scrape_timestamp
Tostadas Bimbo Integrales 144 gr,S/ 8.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Rosquitas Soy Diet Integrales Castañas 100 gr,S/ 4.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pan El Cedro Árabe Integral Bolsa 5 und,S/ 3.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pan Bimbo Integral Prebiótico 480 gr,S/ 10.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Rosquitas Soy Diet Integrales anís 100 gr,S/ 2.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Rosquitas Soy Diet Integrales ajonjolí 100 gr,S/ 2.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Club Social Integral + 1 cua cua 18gr + 1 coca cola 300ml),S/ 4.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Club Social Integral + 1 Trident 5S Tutti Fruti + 1 Coca Cola 300ml),S/ 4.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
GALLETA INTEGRAKERS MIEL C/FIBRA X 30 GR,S/ 1.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (5 Torta Selva Negra),S/ 24.50,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (3 Torta Selva Negra),S/ 14.70,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (2 Torta Selva Negra),S/ 9.80,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Leche UHT Gloria Entera 1 L,S/ 4.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Torta Selva Negra Tambo 1 Und,S/ 4.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Cerveza Cusqueña Negra Six Pack Botella 310 ml,S/ 24.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Cerveza Cusqueña Negra Six Pack Lata 355 ml,S/ 28.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Caramelo Tic Tac Menta Intensa X 16 Gr,S/ 2.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Agua Embotellada Mineral San Mateo sin Gas 2.5 L,S/ 4.80,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (9 Leche Gloria Reconstituida Entera Lata x 390 Gr),S/ 36.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (2 Cerveza Cusqueña Negra Sixpack Lata x 355 Ml),S/ 56.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (2 Agua Mineral San Mateo Sin Gas x 2.5 Lt),S/ 8.80,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (3 Agua Mineral San Mateo Sin Gas x 2.5 Lt),S/ 11.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (6 Agua Mineral San Mateo Sin Gas x 2.5 Lt),S/ 28.80,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Rehidratante Sporade Tropical Tapa Plana 500Ml + 1 Agua Mineral San Mateo Sin Gas 2.5Lt),S/ 6.00,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Rehidratante Sporade Mandarina Tapa Plana 500Ml + 1 Agua Mineral San Mateo Sin Gas 2.5Lt),S/ 6.00,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Energizante Red Bull 355 Ml + 1 Agua Mineral San Mateo Sin Gas 2.5 Lt),S/ 12.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Energizante Monster Energy 473 Ml + 1 Agua Mineral San Mateo Sin Gas 2.5 Lt),S/ 11.90,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
Pack (1 Tres Leches + 1 Torta De Chocolate + 1 Torta Helada + 1 Torta Selva Negra + 1 Cheesecake De Maracuya),S/ 24.50,tambo,PAN INTEGRAL,2024-12-04 23:25:20.290856
