description,price,website,search_term,scrape_timestamp
Galletas Colombina Moments Chocolate 135 gr,S/ 9.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Leche Chocolatada Gloria UHT 180 ml,S/ 2.00,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
RTD Hit Piña Colada 355 ml,S/ 6.50,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Galleta Colombina Navideñas x 200 Gr,S/ 9.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Jappy Snack Original 95 gr,S/ 5.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Jappy Extra Mantequilla 95 gr,S/ 5.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Act II Natural 80 gr,S/ 5.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Act II Mantequilla 80 gr,S/ 5.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Movie Pop Mantequilla 90 gr,S/ 3.70,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Movie Pop Natural 90 gr,S/ 3.70,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Galleta Colombina Surtidas Navideñas x 200 Gr,S/ 7.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Act II Extra Mantequilla 80 gr,S/ 5.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Movie Pop Extra Mantequilla 90 gr,S/ 3.70,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Rtd Hit Piña Colada Cartavio x 700 Ml,S/ 15.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Comida de Perro Ricocan Adulto Pate Cordero 330 gr,S/ 7.30,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pop Corn Movie Pop Tripack Extra Mantequilla 270 gr,S/ 9.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Vapeador Electrónico Geekbar Meloso Pina Colada 1500 Puff 1 und,S/ 24.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pack (4 Comida De Perro Ricocan Adulto Pate Cordero x 330 Gr),S/ 29.20,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pack (2 Maiz Pop Corn Corazon Del Fundo Bolsa x 400 Gr),S/ 6.60,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
Pack (1 Galleta Colombina Surtidas Navideñas 200Gr + 1 Paneton Donofrio Bolsa 880Gr + 1 Espumante Primado Queirolo 750 Ml),S/ 49.90,tambo,PAPA COLOR,2024-12-05 00:34:30.995091
