description,price,website,search_term,scrape_timestamp
Caramelo Ambrosoli Mentitas 21 g,S/ 1.30,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Halls Fruit Mix Barra,S/ 2.20,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Barbie Anillo Diamante 13 gr,S/ 1.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Tic Tac Menta 16 gr,S/ 2.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Tic Tac Naranja 16 gr,S/ 2.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Mentos Clean Breath Wintergreen 17.5 gr,S/ 7.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Mentos Clean Breath Peppermint 17.5 gr,S/ 7.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Papas Inka Chips Cebolla Caramel & BBQ 135 gr,S/ 8.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pack (2 Inka Chips Cebolla Caramel & Bbq x 135 Gr),S/ 13.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pack 1 Inka Chips (Cebolla Caramel & Bbq x 135 Gr + Artesanal x 135 Gr + Jalapeño x 135 Gr),S/ 14.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pack Inka Chips (1 Cebolla Caramel & Bbq x 135 Gr + 1 Queso Y Cebolla x 135 Gr + 1 Artesanal x 135 Gr),S/ 14.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Ambrosoli Full Cherry 22.5 gr,S/ 1.30,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Halls Cherry Lyptus Barra 1 und,S/ 2.20,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Halls Extra Strong Barra 1 und,S/ 2.20,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Halls Mora Azul Barra 1 und,S/ 2.20,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Caramelo Tic Tac Menta Intensa X 16 Gr,S/ 2.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Agua San Carlos Sin Gas 750 ml,S/ 2.20,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pack (1 Papas Inka Chips Cebolla Caramel & Bbq 135 Gr + 1 Pepsi 750 Ml),S/ 9.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pack Inka Chips (1 Cebolla Caramel & Bbq x 135 Gr + 1 Nativas x 135 Gr + 1 Artesanal x 135 Gr),S/ 14.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Pisco Puro Torontel La Caravedo x 750 Ml,S/ 44.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Watermelon Ice 9000 Puff,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Strawberry Mango 9000 Puff 1und,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Sour Apple Ice 9000 Puff 1und,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Pina Colada 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Strawberry Banana 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Alaska Mint 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Meico Mango 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electrónico Geekbar Meloso Berry Trio Ice 9000 Puff 1 und,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Mini Blueberry Ice 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Mini Peach Berry 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Mini Strawberry Mango 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Mini Grape Jelly 1500 Puff 1 und,S/ 24.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Max Purple Haze 9000 Puff 1 und,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
Vapeador Electronico Geekbar Meloso Max Apple Sunrise 9000 Puff 1 und,S/ 74.90,tambo,CARAMELOS,2024-12-05 14:29:36.407886
