description,price,website,search_term,scrape_timestamp
Sal de Cocina Ensal 500 gr,S/ 1.40,tambo,SAL,2024-12-05 14:32:43.952149
Papas Lays Artesanas Sal Marina 135g,S/ 9.90,tambo,SAL,2024-12-05 14:32:43.952149
Mantequilla Laive Con Sal Barra 180 gr,S/ 12.90,tambo,SAL,2024-12-05 14:32:43.952149
Mixtura Sin Sal Villa Natura Bl 150 gr,S/ 11.40,tambo,SAL,2024-12-05 14:32:43.952149
Cocktail De Nueces Villa Natura Sin Sal 150 gr,S/ 11.40,tambo,SAL,2024-12-05 14:32:43.952149
Pack Inka Chips (1 Cebolla Caramel & Bbq x 135 Gr + 1 Queso Y Cebolla x 135 Gr + 1 Artesanal x 135 Gr),S/ 14.90,tambo,SAL,2024-12-05 14:32:43.952149
Papas Inka Chips Sal de Mar 135 gr,S/ 8.90,tambo,SAL,2024-12-05 14:32:43.952149
Papas Lays Artesanas Sal X 34 Gr,S/ 3.70,tambo,SAL,2024-12-05 14:32:43.952149
Pack (2 Papas Lays Artesanas Sal Marina x 135 Gr),S/ 19.80,tambo,SAL,2024-12-05 14:32:43.952149
Pack (3 Pack Papas Lays Artesanas Sal Marina x 135 Gr),S/ 29.70,tambo,SAL,2024-12-05 14:32:43.952149
Tortees Sal X 71 Gr,S/ 3.30,tambo,SAL,2024-12-05 14:32:43.952149
Galleta + Nutri Co Maiz Morado Y Sal De Maras x 30 Gr,S/ 3.00,tambo,SAL,2024-12-05 14:32:43.952149
Tostitos Redondos Sal X 150 Gr,S/ 8.00,tambo,SAL,2024-12-05 14:32:43.952149
Pack (2 Inka Chips Artesanal x 135 Gr),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Salsa Huancaina Alacena 85 gr,S/ 5.40,tambo,SAL,2024-12-05 14:32:43.952149
Gelatina de Fresa Universal 150 gr,S/ 4.70,tambo,SAL,2024-12-05 14:32:43.952149
Gelatina Universal Fresa Diet 19 gr,S/ 4.20,tambo,SAL,2024-12-05 14:32:43.952149
Galletas De Maíz Salmas granos y Semillas 126 gr,S/ 12.90,tambo,SAL,2024-12-05 14:32:43.952149
Comida de Gato Ricocat Pouch Trocitos en Salsa AduLos Sabor Pollo 85 gr,S/ 3.90,tambo,SAL,2024-12-05 14:32:43.952149
Comida de Perro Ricocan Pouch Trocitos en Salsa Cachorros Sabor Cordero 100 gr,S/ 3.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (4 Coca Cola Sin Azúcar Pet x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Flan Universal Vainilla 150 gr,S/ 4.20,tambo,SAL,2024-12-05 14:32:43.952149
Mazamorra Morada Universal 150 gr,S/ 3.40,tambo,SAL,2024-12-05 14:32:43.952149
FELIX CLASSIC con Salmón15x85gX I,S/ 5.30,tambo,SAL,2024-12-05 14:32:43.952149
Salsa de Tomate Pomarola 145 gr,S/ 1.90,tambo,SAL,2024-12-05 14:32:43.952149
Haba Salada Villa Natura 80 gr,S/ 5.90,tambo,SAL,2024-12-05 14:32:43.952149
Chifles Jappy Snack Salados 30 gr,S/ 1.50,tambo,SAL,2024-12-05 14:32:43.952149
Pack (4 Coca Cola x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (2 Coca Cola x 1 Lt + 2 Inca Kola x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Salsa Mexicana Picante Jappy Snack 195 gr,S/ 5.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (3 Comida De Gato Felix Pouch Salmon x 85 Gr),S/ 15.90,tambo,SAL,2024-12-05 14:32:43.952149
Papas Nativas Tiyapuy Duopack Mi 160 gr + Chifles Salados 160 gr,S/ 13.00,tambo,SAL,2024-12-05 14:32:43.952149
Comida de perro Ricocan Pouch Trocitos de Carne en Salsa AduLos 100 gr,S/ 3.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (4 Inca Kola x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (4 Inca Kola Sin Azúcar Pet x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (2 Coca Cola x 1 Lt + 2 Coca Cola Sin Azúcar Pet x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (2 Inca Kola x 1 Lt + 2 Inca Kola Sin Azúcar Pet x 1 Lt),S/ 13.90,tambo,SAL,2024-12-05 14:32:43.952149
Mayonesa Saborissima Baja En grasa 100 gr,S/ 3.00,tambo,SAL,2024-12-05 14:32:43.952149
Pack (6 Agua San Mateo Con Gas x 600 Ml),S/ 9.90,tambo,SAL,2024-12-05 14:32:43.952149
Pack (6 Agua San Mateo Sin Gas x 600 Ml),S/ 9.90,tambo,SAL,2024-12-05 14:32:43.952149
