description,price,website,search_term,scrape_timestamp
Jugo Cifrut Fruit Punch Granadilla 350 Ml,S/ 1.60,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Arroz Costeño graneadito 750 gr,S/ 4.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Papas Nativas Amarillas Tiyapuy 160 gr,S/ 8.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Infusión Manzanilla Mc Colins 25 Und,S/ 4.40,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Yogurt Tigo Fresa griego con granola 155 gr,S/ 5.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (3 Arroz Costeño Graneadito x 750 Gr),S/ 14.70,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Vino Tinto Tempranillo Caballero De Castilla 750 ml,S/ 36.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Papas Nativas Amarillas Tiyapuy x 142 Gr),S/ 12.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Vino Tinto Tempranillo Caballero De Castilla x 750 Ml),S/ 73.80,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (1 Papas Nativas Tiyapuy Mix x 142 Gr + 1 Papas Nativas Amarillas Tiyapuy x 142 Gr),S/ 12.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Papas Nativas Amarillas Tiyapuy 40 Gr,S/ 2.80,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Lavavajilla Liquida Sapolio Limon X 750 Ml,S/ 10.00,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Arroz Costeño Graneadito x 750 Gr),S/ 9.80,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Vino Marques De Riscal Tempranillo x 750 Ml,S/ 59.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Vino Marques De Riscal Tempranillo x 375 Ml,S/ 28.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Papas Nativas Amarillas Tiyapuy Picantes x 142 Gr),S/ 12.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Vino El Coto De Imaz Reserva Tempranillo x 750 Ml,S/ 257.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack Papas Nativas Tiyapuy (1 Mix x 142 Gr + 1 Amarillas Picantes x 142 Gr),S/ 12.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Galletas De Mantequilla 6% La Vita Panettiere Lata Azul Y Amarilla x 114 Gr),S/ 14.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Galletas De Mantequilla 6% La Vita Panettiere Lata Roja Y Amarilla x 114 Gr),S/ 14.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (1 Galletas La Vita Panettiere Lata Roja Y Amarilla 114 Gr + 1 Paneton Con Chispas De Chocolate La Vita Panettiere Blanco 500Gr + 1 Gaseosa Pepsi 1Lt),S/ 19.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (2 Rtd Smirnoff Ice Guarana Lata x 350 Ml),S/ 12.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
Pack (3 Rtd Smirnoff Ice Guarana Lata x 350 Ml),S/ 16.90,tambo,GRANADILLA,2024-12-06 18:12:00.567359
