description,price,website,search_term,scrape_timestamp
Empanada de Carne Tambo,S/ 3.20,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Empanada de Chanchito Oriental,S/ 4.20,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
RTD Shelby Manzana Lata 330 ml,S/ 6.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (10 Empanada De Carne),S/ 22.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (3 Rtd Shelby Manzana Lata x 330 Ml),S/ 12.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Party Box Manzana Cj x 3 Lt,S/ 36.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 5 Empanada Mixta),S/ 22.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Agua Saborizada San Luis Manzana Con Gas 625 ml,S/ 2.60,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 5 Empanada De Pollo),S/ 19.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Carne + 3 Empanada De Pollo),S/ 16.00,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (3 Empanada De Carne + 2 Empanada De Pollo),S/ 16.00,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Chanchito Oriental + 2 Empanada Lomo Saltado),S/ 15.60,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (6 Empanada De Carne + 1 Coca Cola x 1 Lt),S/ 14.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (6 Empanada De Carne + 1 Inca Kola x 1 Lt),S/ 14.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 1 Coca Cola x 1 Lt),S/ 21.10,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 1 Inca Kola x 1 Lt),S/ 21.10,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 1 Coca Cola x 1 Lt),S/ 21.10,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 1 Inca Kola x 1 Lt),S/ 21.10,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Chanchito Oriental + 2 Empanada Aji De Gallina),S/ 15.60,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (6 Agua Saborizada San Luis Manzana Con Gas x 625 Ml),S/ 9.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Rtd Shelby Limon Lata x 330 Ml + 1 Rtd Shelby Manzana Lata x 330 Ml),S/ 12.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (1 Rtd Shelby Limon Lata x 330 Ml + 2 Rtd Shelby Manzana Lata x 330 Ml),S/ 12.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (1 Empanada De Carne + 1 Jugo Epic Naranja x 250 Ml),S/ 7.40,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (4 Empanada De Carne + 1 Jugo Naranja Epic x 380 Ml),S/ 12.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (4 Empanada De Carne + 2 Empanada Mixta + 4 Empanada De Pollo),S/ 22.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (1 Empanada De Carne + 1 Jugo Epic Mango Maracuya x 250 Ml),S/ 7.40,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (1 Empanada De Carne + 1 Jugo Epic Zanahoria Naranja x 250 Ml),S/ 7.00,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (4 Empanada De Carne + 1 Cerveza Pilsen Callao Sixpack Lata x 269 Ml),S/ 35.30,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (3 Empanada De Carne + 3 Empanada De Pollo + 1 Coca Cola x 1 Lt),S/ 15.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (3 Empanada De Carne + 3 Empanada De Pollo + 1 Inca Kola x 1 Lt),S/ 15.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 5 Empanada De Pollo + 1 Coca Cola x 1 Lt),S/ 24.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Carne Tambo + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 8.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 5 Empanada De Pollo + 1 Cerveza Heineken Fourpack Lata x 473 Ml),S/ 59.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (5 Empanada De Carne + 5 Empanada De Pollo + 1 Cerveza Pilsen Twelve Pack Lata x 355 Ml),S/ 86.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Carne + 2 Empanada Mixta + 2 Empanada De Pollo + 1 Coca Cola x 1 Lt),S/ 15.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
Pack (2 Empanada De Carne + 2 Empanada Mixta + 2 Empanada De Pollo + 1 Inca Kola x 1 Lt),S/ 15.90,tambo,MANZANA DELICIA,2024-12-06 18:06:26.130493
