description,price,website,search_term,scrape_timestamp
Leche Gloria Niños Lata 395 gr,S/ 4.40,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Gloria Light Lata 395 gr,S/ 4.40,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Gloria Sin Lactosa Lata 395 gr,S/ 4.40,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Chocolatada Gloria UHT 180 ml,S/ 2.00,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Gloria Uht Entera Bolsa 900 ml,S/ 5.50,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Gloria Uht Chocolatada Bolsa 900 ml,S/ 5.50,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Leche Chocolatada Sin Lactosa Laive Caja 180 ml,S/ 1.70,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (6 Leche Gloria Light Lata x 390 Gr),S/ 25.20,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (9 Leche Gloria Reconstituida Entera Lata x 390 Gr),S/ 36.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (2 Mixto Completo + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 9.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (2 Mixto Extremo + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 11.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (2 Empanada Parrillera + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 10.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (2 Empanada De Carne Tambo + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 8.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
Pack (2 Hamburguesa Royal Con Queso + 1 Cafe Con Leche Entera Danlac Capuccino Bot 250 Ml),S/ 13.90,tambo,LECHE EVAPORADA,2024-12-07 16:38:38.385769
