description,price,website,search_term,scrape_timestamp
Pack Laive Queso Edam + Jamon Americano 372 gr,S/ 14.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Pack Braedt Jamón Pizzero + Queso Adam 370 gr,S/ 14.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Hamburguesa Doble Con Queso Tambo,S/ 6.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Doritos Queso Atrevido 45g,S/ 3.00,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Enrollado de Pollo Jamon Queso Tambo 1 und,S/ 6.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Doritos Queso Atrevido X 90 Gr,S/ 6.00,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Doritos Queso Atrevido X 190 Gr,S/ 8.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Pack (2 Doritos Queso Atrevido x 190 Gr),S/ 17.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Chizz Palitos De Queso Jappy Snack 36 Gr,S/ 1.50,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Chizz Palitos De Queso Jappy Snack 190 Gr,S/ 7.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Galleta Ritz Queso 34 g,S/ 1.30,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Papas Kona Queso 100 gr,S/ 7.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Hamburguesa Queso Y Tocino Tambo,S/ 6.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheese Tris Queso 107 gr,S/ 5.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Chizitos Queso X 190 Gr,S/ 8.40,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheetos Boliqueso X 110 Gr,S/ 7.50,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Enrollado de Jamón y Queso El Cedro 1 und,S/ 9.40,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Chicle Bubbaloo Sparkies Adams 25 gr,S/ 1.70,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Hamburguesa Royal con Queso y Huevo,S/ 6.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheetos Horneados Queso X 90 Gr,S/ 5.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Mix Piqueo Snax X 105 Gr,S/ 6.30,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Mix Piqueo Snax X 200 Gr,S/ 10.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheetos Horneados Queso X 200 Gr,S/ 10.10,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheese Tris Queso X 44 Gr,S/ 3.00,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheetos Queso Picante X 90 Gr,S/ 5.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Mix Piqueo Snax X 55 Gr,S/ 3.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Doritos Queso Fuego X 90 Gr,S/ 6.50,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Doritos Queso Fuego X 190 Gr,S/ 10.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Cheetos Queso Picante X 180 Gr,S/ 10.10,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Triple de Jamon Queso y Pollo Tambo,S/ 5.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Queso Bonlé Cheddar Fundido 8 Tajadas 136 g,S/ 7.50,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Papas Inka Chips Queso y Cebolla 135 gr,S/ 8.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Pack (2 Triple De Jamon Queso Y Pollo),S/ 11.80,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Pack (2 Cheese Tris Queso x 120 Gr),S/ 11.80,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Pack (2 Papas Pringles Queso x 109 Gr),S/ 21.80,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Vino Marques De Riscal Rueda x 750 Ml,S/ 59.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Vino Marques De Riscal Tempranillo x 750 Ml,S/ 59.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Vino Marques De Casa Concha x 750 Ml,S/ 99.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Vino Marques De Riscal Reserva x 750 Ml,S/ 126.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
Vino Marques De Riscal Tempranillo x 375 Ml,S/ 28.90,tambo,QUESO EDAM,2024-12-07 16:43:17.972625
