brand,description,price,website,search_term,scrape_timestamp
TOTTUS,Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios,S/ 16.60,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Lentejas bebé de 500 g,S/ 5.72,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
FARAON,Arroz Extra Faraón de 5 Kg,S/ 27.60,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Arroz Extra 5 kg,S/ 21.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
NATURES HEART,INFUSION HERB SURTIDO CAJA X 20UND,S/ 11.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Arroz Extra Costeño 5 kg,S/ 27.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Frijol Canario Costeño 500 g,S/ 10.40,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Frijol Castilla,S/ 5.31,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Frijol Panamito Costeño 500 g,S/ 7,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Frijol Panamito 500 g,S/ 5.70,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Arroz Costeño Añejo Bolsa x 10 Kg,S/ 45,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Frijol Negro,S/ 6.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Frijol Castilla Costeño 500 g,S/ 6.60,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
GRAN CHALAN,Arroz Extra Añejo Bolsa x 10 Kg,S/ 44.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Quinua de 1 kg,S/ 17.78,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Frijol Negro Costeño 500 g,S/ 7,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Arroz Extra de 10 kg,S/ 44.05,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Frijol Canario 500 g,S/ 7.74,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTA,Cereal Bar Chips 8 Unidades 21g,S/ 6.60,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Lentejas bebé de 1 kg,S/ 10.51,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TOTTUS,Arroz superior de 10 kg,S/ 41.71,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
COSTENO,Lenteja Costeño 500 g,S/ 7.30,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
VALLENORTE,Arroz Extra Valle Norte 5 kg,S/ 28.50,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TESORO DEL CAMPO,Frijol Canario x 350 g,S/ 7,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
GRAN CHALAN,Arroz Extra Gran Chalán 5 kg,S/ 26.30,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TESORO DEL CAMPO,Frijol Canario 500 g,S/ 9.20,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
TESORO DEL CAMPO,Frijol Panamito 500 g,S/ 6.30,tottus,MENESTRAS SANCOCHADAS,2024-12-04 13:55:48.521734
