brand,description,price,website,search_term,scrape_timestamp
360,Fulbito de Mesa con Soporte,S/ 129,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA DE CENTRO TAVARUA 70 X 48 CM MOD RATAN,S/ 305.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA DE CENTRO TAVARUA 50 X 50 MOD RATAN CON VI,S/ 231.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA CENTRO TAVARUA 100X 50CM RATAN C,S/ 359.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA TAVARUA 180 X 95 MOD RATAN CON VIDRIO TEMPL,S/ 893.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA TAVARUA 95 X 95 MOD RATAN CON VIDRIO TEMPLA,S/ 483.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA TAVARUA 145 X 85 MOD RATAN CON VIDRIO TEMPL,S/ 747.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
REYPLAST,MESA TAVARUA 75 X 75 MOD RATAN CON VIDRIO TEMPLAD,S/ 359.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Cabecera Con 2 Mesas De Noche Avellana,S/ 119,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Set de 2 Mesas de Noche,S/ 69.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Juego de Comedor Capri 6 Sillas + Mesa de Vidrio,S/ 499,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
360,Mesa de Ping Pong Plegable y Ajustable,S/ 179,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,"Mesa De TV 50"" Venecia",S/ 159,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Juego de Comedor Verona con 4 Sillas + Mesa de Vidrio,S/ 549,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
360,Mesa Plegable Blanca 180x75x72 cm,S/ 129,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Juego de Comedor Isadora con 6 Sillas + Mesa de Vidrio,S/ 529,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MARINA,Sal de mar de mesa Emsal de 1 kg,S/ 2.50,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de centro Audra,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
GENERICO,Mesa de Actividades,S/ 79.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de centro Beijing Rovere,S/ 809,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de centro Fraktal miel,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de centro Beijing Wen,S/ 809,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa para sillas Lily,S/ 759,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
GENERICO,Basket de Mesa,S/ 14.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
USAMS,Soporte Retráctil para Mesa a Celular Negro,S/ 50.92,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de centro Kaia Wen Miel,S/ 929,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de Bar Syrah Wens,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
360,Mesa de Ping Pong Plegable 146x75x77 cm,S/ 79.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego de Mesa Hasbro Gaming Operando,S/ 69.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de Centro Classic Color Car Wen,S/ 809,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CASA JOVEN,Juego de comedor con 6 sillas y mesa de vidrio,S/ 479,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TOTTUS,Agua de mesa sin gas bidón 7 L,S/ 5.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de comedor Volterra 120 Wen,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de comedor Volterra 160 Wen,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FUNVILLE,Juego de Mesa Travel Ludo,S/ 7.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego De Mesa Hasbro Gaming Twister,S/ 55.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FURREAL,Juego de Mesa Clue Conspiración,S/ 69.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TOTTUS,SAL DE MESA X 1 KG,S/ 2.10,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FUNVILLE,Juego de Mesa Travel Memorice,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FUNVILLE,Juego de Mesa Travel Quién Soy,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MONOPOLY,Juego de Mesa Knockout,S/ 74.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa para Café Aras,S/ 779,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
CARDINAL,Juego de Mesa Blue Traditions,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MONOPOLY,Juego De Mesa Perú,S/ 95.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego De Mesa Monopoly Modular,S/ 58.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MONOPOLY,Juego de Mesa Fortuna,S/ 74.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
SANTA BEATRIZ,Juego de Mesa Sapo Chibolito,"S/ 1,109",tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MATTEL,PICTIONARY JUEGO MESA PARA ADULTOS,S/ 89.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MONOPOLY,Juego de Mesa Batman,S/ 129.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego De Mesa Hasbro Gaming Jenga,S/ 55.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
SANTA BEATRIZ,Mesa de Ajedrez de 4 Patas,"S/ 1,159",tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMING,Juego de Mesa Atomix,S/ 39.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego de Mesa Hasbro Gaming Risk,S/ 111.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MATTEL GAMES,Phase Ten Game Juego de Mesa,S/ 21.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TOTTUS,Agua De Mesa Sin Gas Caja 20 L,S/ 19.50,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO,Juego de Mesa Gaming Hypershot,S/ 129.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TUHOME,Mesa De Tv40 Invy Wengue,S/ 179.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TUHOME,Mesa De Tv50 Romazino Habano,S/ 284.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TUHOME,Mesa De Centro Wema3 Conac,S/ 219.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TUHOME,Mesa De Tv46 Maori Rovere,S/ 174.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMES,Juego de Mesa Hasbro Gaming Conecta 4,S/ 48.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MONOPOLY,Juego De Mesa Súper Banco Electrónico,S/ 110.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FUNVILLE,Juego de Mesa Travel 4 en Línea,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
FUNVILLE,Juego de Mesa Travel Escaleras y Serpientes,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMING,Juego de Mesa Grab and Go Surtido,S/ 20.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
SPIN MASTER,Juego de Mesa Ludo Jr Paw Patrol,S/ 19.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO,Juego de Mesa Gaming Drop Trivial,S/ 129.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
HASBRO GAMING,Juego de Mesa Hippos Glotones,S/ 99.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
SHEN HUA,Mini Mesa de Herramientas 46 Pzas,S/ 69.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
USAMS,Soporte Retractil Mesa A Celular Bla,S/ 59.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
DECOHOME,Mesa de comedor Volterra de 120 cm en color caramelo,S/ 899,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
MARVEL,Juego de Mesa Hasbro Gaming Clue Traición en la Mansión Tudor,S/ 52.40,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TUHOME,Mesa De Centro Kaia Wengue Y Miel,S/ 239.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
SPIN MASTER,Juego de Mesa Ajedrez Mad Games,S/ 59.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
GENERICO,Mesa Vanity con Lys 15 Accesorios,S/ 54.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
ELITE,Servilletas de Mesa 1 hoja 60 unds,S/ 5.80,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
USAMS,Soporte de mesa retráctil para celular/tablet negro,S/ 24.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
USAMS,Soporte de mesa retráctil para celular/tablet blanco,S/ 24.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TRAMONTINA,Juego de Tenedores de Mesa 3 piezas Havana,S/ 13.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
IMACO,Parrilla Grill Eléctrica mesa y pedestal BBQ2000,S/ 189.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
TRAMONTINA,Juego de Cucharas de Mesa 3 piezas Havana,S/ 12.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638
