brand,description,price,website,search_term,scrape_timestamp
,Chocolisto Achocolatado 300 g,S/ 12.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
,Chocolisto Achocolatado 200 g,S/ 8.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
ACONCAGUA,Duraznos en Almíbar 822 g,S/ 10.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
CASA JOVEN,Ropero 6 Puertas 1 Cajon 1 Zapatera Blanco,S/ 299,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
GLUCERNA,Vainilla 850 g,S/ 137.70,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
RHEEM,Aire Acondicionado Portátil 12000btu Frío,"S/ 1,299",tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
CASA JOVEN,Ropero 6 Puertas 1 Cajon 1 Zapatera Malbec,S/ 279,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
CLOROX,Lejía Tradicional,S/ 10.30,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
360,Triciclo BW467 Azul,S/ 84.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
IGLOO,Cooler Laguna 9 QT Azul,S/ 79.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
AMBROSOLI,PACK DE PRODUCTOS 249.5G,S/ 9.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
INDURAMA,"Cocina 24"" con Encendido Eléctrico",S/ 749,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
,Canihuaco Tostado Productos Andinos 400 g,S/ 20.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
MABE,Refrigeradora Bottom Freezer 317L RMB315PTPRO0,"S/ 1,679",tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
360,Sleeping Bag Basic Azul 150G,S/ 24.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
GENERICO,Pretostado 7 en 1 Productos Andinos 400 g,S/ 10.30,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
,Pretostado 3 en 1 Productos Andinos 400 g,S/ 10.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
GENERICO,Pretostado de Cerales 10 en 1 Productos Andinos 400 g,S/ 10.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
WURDEN,Hervidor eléctrico 1.7L Cuerpo de Vidrio WKE-GLASS100,S/ 79.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
INDURAMA,Campana Extractora 90 Cm,S/ 399,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
PRECIO UNO,Espejo 40x40 cm,S/ 19.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
RHEEM,Aire Acondicionado Portatil 9000 Btu Frio,"S/ 1,099",tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
