brand,description,price,website,search_term,scrape_timestamp
TOTTUS,Quinua de 1 kg,S/ 17.78,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,Quinua 500 g,S/ 9.18,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
COSTENO,Quinua Costeño 500 g,S/ 9.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
,Quinua Instantánea 400 g,S/ 18.30,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TESORO DEL CAMPO,Quinua 500 g,S/ 10.20,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,Quinua Blanca Orígenes 500 g,S/ 11.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,Quinua Roja Orígenes 500 g,S/ 11.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,Quinua Tricolor Orgánica Life de 500 g,S/ 16.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,Quinua Blanca Orgánica Life de 500 g,S/ 15.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
3 OSITOS,Quinua Avena Hojuela Precocida 900g,S/ 11.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
REDWOOD,Ropa De Baño Color Entero Hombre,S/ 29.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
REDWOOD,Short Franela French Color Entero Hombre,S/ 19.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
REDWOOD,Pantalon Color Entero Niño,S/ 29.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
REDWOOD,Short Cargo Color Entero Hombre,S/ 39.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
REDWOOD,Short Franela French Color Entero Mujer,S/ 19.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
3 OSITOS,Quinua Avena 270 g,S/ 5.60,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
BE NATURAL,Shampoo Nutri Quinua 350mL,S/ 27.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
BE NATURAL,Mascarilla Nutri Quinua 350g,S/ 30.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
GENERICO,Harina de Quinua Renacer 500 g,S/ 33.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
MAMALAMA,Barra de chocolate y quinua 5 unidades,S/ 15.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
GRANO DE ORO,Quinua Avena 370 g,S/ 4.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
QUAKER,Avena Con Quínua 330 g,S/ 8.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
MOLICUSCO,Hojuelas de Quinua 200 g,S/ 9.75,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
MURANA,GEL DE BANO NATUROLOGY QUINUA 400ML,S/ 13.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
MOLICUSCO,Harina de Quinua 250 g,S/ 10.49,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TIYAPUY,Chips de Quinua Natural 100 g,S/ 4.65,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TIYAPUY,Chips de Quinua BBQ 100 g,S/ 4.65,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
,Orégano Entero Kariño 18 g,S/ 3.30,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
PORTUGAL,Crema Corporal Quinua 450g Rd,S/ 22,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
CUSQUEÑA,6PACK CERVEZA CUSQUENA QUINUA BT 310ML,S/ 20.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
QUAKER,Avena Con Quínua 850 g,S/ 14.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
QFOODS,Cereal Natural de Quinua 200 g,S/ 19.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
BE NATURAL,Acondicionador Nutri Quinua 350 mL,S/ 27.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
AJINOMOTO,AJINOMEN VASO SABOR POLLO CON QUINUA 57 GR,S/ 3.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
TOTTUS,NUGGET DE POLLO C/ QUINUA X 12 UNID,S/ 13.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
MAMALAMA,Sticks de Quinua con Queso Cheddar de 80 g,S/ 9.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
CASA JOVEN,Espejo Cuerpo Entero 30x120 cm,S/ 29.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
CASA VERDE,Quinua Bicolor x 240 g,S/ 7.50,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
QFOODS,Barras de Quinua Pasas y Chocolate 180 gr,S/ 21,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
,PAPILLA TROZ QUINUA+PLAT+MNZ 200G KIGLI,S/ 15.90,tottus,QUINUA ENTERA,2024-12-04 12:57:02.651479
