brand,description,price,website,search_term,scrape_timestamp
FINI,Gomas de bananas,S/ 4.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
FINI,Goma Moras 90 g,S/ 4.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
FINI,Goma Ositos 90 gr,S/ 4.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
2 CERRITOS,Gomas Frutales 150 g,S/ 10.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
AMBROSOLI,Gomas Flippy Bolsa x 480 g,S/ 11.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
,Life Savers Gomas Sabores Frutales 91.3 g,S/ 8.50,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
AMBROSOLI,Gomas Gusanos Ácidos Bolsa x 480 g,S/ 11.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ECO FULL,Dúo renovador de gomas + silicona,S/ 29.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
TOTTUS,JARABE DE GOMA 750ML,S/ 14.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ECO FULL,Renovador de gomas 500mL,S/ 19.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
REDWOOD,Zapatilla Casual Goma Mujer,S/ 29.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
CASA JOVEN,Set Contenedores de Goma 50 Piezas,S/ 49.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
REDWOOD,Zapatilla Casual Goma Hombre,S/ 44.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ARTI CREATIVO,AC TANGRAM 7PZ GOMA EVA,S/ 3.60,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
,Dúo renovador de gomas + Dry Wash,S/ 29.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ARTI CREATIVO,Juego de encaje goma eva numeros,S/ 5.60,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
VARGAS,Jarabe De Goma Chevalier 750 mL,S/ 16.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ARTESCO,Goma en barra Stiky 40 gr,S/ 4.60,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
CONAIR,Peine de goma dura negro 1 unidad,S/ 5.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
MAPED,LAP DE GRAFITO PASTEL CON GOMA HB X3,S/ 3.72,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
AMBROSOLI,Goma Gelatina Gusanos Surtido Bolsa x 90 gr,S/ 2.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
AMBROSOLI,Goma Gelat Gusanos Acido Surt Bolsa x 90 gr,S/ 2.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
ELVIVE,Crema Tratamiento Reparación Total 5 300 mL,S/ 19.50,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
HERBAL ESSENCES,Crema Tratamiento Argán 300 mL,S/ 24.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
BE NATURAL,Mascarilla Nutri Quinua 350g,S/ 30.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
BE NATURAL,Tratamiento Lisso Keratina 350 g,S/ 30.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
BE NATURAL,Tratamiento Reparador Argán 350 g,S/ 30.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
BE NATURAL,Mascarilla de Hydra Macadamia de 350 g,S/ 30.90,tottus,GOMA DE MASCAR,2024-12-05 12:31:00.507227
