brand,description,price,website,search_term,scrape_timestamp
ALACENA,Crema de Ají Tari 400 g,S/ 13.50,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
SIBARITA,Salsa de Aji Amarillo,S/ 11.40,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Pimiento Paprika 45 g,S/ 5.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
CASA VERDE,Ají Pollero,S/ 4.40,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Pasta de Ají Amarillo,S/ 5.60,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Ají Criollo 400g,S/ 13.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Ají Criollo,S/ 7.50,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Aceituna Verde Rellena con Pimiento 240 g,S/ 9.80,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Aceituna verde con pimiento premium,S/ 14.50,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Salsa de ají amarillo,S/ 6.20,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
SIBARITA,Ají Especial Panquita 250 g,S/ 8.40,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Salsa de rocoto y ají limo,S/ 8.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
VALLE FERTIL,Pimiento Piquillo Gourmet 290 g,S/ 11.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
LIBBYS,Ají Libby's 85 g,S/ 5.30,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
SANISSIMO,NACHOS AJI 160G,S/ 11.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
TOTTUS,Pimienta negra molida 60 g,S/ 8.40,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
EL OLIVAR,Aceituna Verde Con Pimiento 240 g,S/ 10.90,tottus,AJÍ PIMIENTO,2024-12-06 13:33:29.988009
