brand,description,price,website,search_term,scrape_timestamp
GENERICO,3 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 60,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,32 sobres semillas huerto urbano hortalizas tomate lechuga,S/ 89,tottus,LECHUGA,2024-12-06 13:31:39.288824
HORTUS,Semillas de Lechuga Great Lakes 659 en sobre 1 gr,S/ 6.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Jabón lechuga con manteca de karité - La cooper 80g,S/ 7.90,tottus,LECHUGA,2024-12-06 13:31:39.288824
PROGRESSIVE,Conservador de lechugas y verduras 4.4 litros,S/ 109.90,tottus,LECHUGA,2024-12-06 13:31:39.288824
MELISSA & DOUG,Juguete de Bebé Bolso Blando de Mercado,S/ 135,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema de Lechuga La Cooper SPF 10 - 100 gr,S/ 25,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,3 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 60,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,2 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 44,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,2 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 44,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,3 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 60,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,2 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 44,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,3 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 60,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,3 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 60,tottus,LECHUGA,2024-12-06 13:31:39.288824
IMPORTADO MC,2 Crema De Lechuga La Cooper Spf 10 - 100 Gr,S/ 44,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema De Lechuga Spf 10 - La Cooper 100 Gr,S/ 23.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema De Lechuga Spf 10 - La Cooper 100 Gr,S/ 23.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema De Lechuga Spf 10 - La Cooper 100 Gr,S/ 23.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema 100Gr + jabón con extracto de lechuga 80Gr la cooper,S/ 25.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema 100Gr + jabón con extracto de lechuga 80Gr la cooper,S/ 25.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema 100Gr + jabón con extracto de lechuga 80Gr la cooper,S/ 25.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema 100Gr + jabón con extracto de lechuga 80Gr la cooper,S/ 25.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema 100Gr + jabón con extracto de lechuga 80Gr la cooper,S/ 25.50,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema Corporal Coco y Avena 450Gr y 150Gr + Jabón de Lechuga 80Gr,S/ 39,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema Corporal Coco y Avena 450Gr y 150Gr + Jabón de Lechuga 80Gr,S/ 39,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema Lechuga 50g + Jabón de Arroz - La Cooper,S/ 22,tottus,LECHUGA,2024-12-06 13:31:39.288824
GENERICO,Crema Lechuga 100G + Jabón De Arroz - La Cooper,S/ 21,tottus,LECHUGA,2024-12-06 13:31:39.288824
