brand,description,price,website,search_term,scrape_timestamp
,Vinagre de Manzana Pack 2 Unidades,S/ 24.10,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
OSTER,CAFETERA PRIMA LATTE ROJA,S/ 499,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
FRUGOS DEL VALLE,Bebida Sabor Manzana 1.5 Lt Caja,S/ 5.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Vinagre de Manzana 500 mL,S/ 8.30,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
FRUGOS DEL VALLE,Sixpack Bebida Frugos Manzana 235 Ml Caja,S/ 8.20,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
GLADE,Ambientador Automático En Aerosol Aparato Manzana Y Canela 175 g,S/ 56.20,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Vinagre de Manzana 1 Lt,S/ 14.80,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
GLADE,Repuesto Ambientador Automático Manzana y Canela,S/ 39.70,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAN LUIS,BEBIDA C GAS MANZANA 625MLX6UND,S/ 11,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Ambientador Automático Manzana Canela,S/ 15.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SUPERCAT,Delicias Salsa Pescado Cachorro 190 gr,S/ 3.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
GLADE,Ambientador Aerosol Manzana Canela 400 mL,S/ 10.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Carnaza Natural Delicias para Perros Pet 2 Unidades,S/ 5.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
,Vinagre de Manzana 500 mL,S/ 11.10,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Ambientador en Gel Manzana Canela,S/ 7.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
DYFFERENT,Granola Manzana Canela 250 g,S/ 18.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SONAX,SILICONA BRILLANTE MANZANA 400ML,S/ 29.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
RUSS KAYA,Vodka de Manzana Verde de 750 mL,S/ 21.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Absorbente de Humedad para Colgar Manzana Canela,S/ 31.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Compota de Manzana frasco de 113 g,S/ 2.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
BABY ALIVE,Muñeca Bebida de Frutas Manzana Cabello Rubio,S/ 118.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
KELLOGGS,Müsli Manzana 275 g,S/ 23.80,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAPOLIO,Lavavajilla Líquido Aroma Manzana,S/ 9.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Colado Orgánico Manzana Bebé 90g,S/ 2.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,COMPOTA DE MANZANA X 90G,S/ 2.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SUEROX,Rehidratante Manzana 630 mL,S/ 6.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
NATURALE,Bebida Sabor Manzana 1 L,S/ 7.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
LA OCA,Lavavajilla Líquido Aroma Manzana,S/ 19,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
FRUGOS DEL VALLE,BEBIDA MANZANA X 970ML,S/ 3.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
GLADE,Ambientador Toque Manzana Canela 2 Repuestos 18 g,S/ 19.40,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
GERBER,Compota de Manzana en Frasco de 113 g,S/ 4.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAPOLIO,Lavavajilla Manzana en crema 1 und,S/ 6,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SUAVITEL,Suavizante Frescura de Manzana 4.8L,S/ 45.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
PALMOLIVE,Jabon Liquido Manzana 800 ml,S/ 14.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Compota Pera Y Manzana - ENVASE 90 GR,S/ 2.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
COSTA,Cereal Bar Manzana Canela 12 Unidades 12g,S/ 6.60,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
NATURALE,Bebida sabor manzana de 500 mL,S/ 4.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
,Nopal Manzana Nuestra Salud 454 g,S/ 43.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAPPE,Aloe Vera Manzana 1 Lt,S/ 16,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAPPE,Aloe Vera Manzana 300 mL,S/ 5.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SOUR APPLE,Licor de Manzana 750 mL,S/ 32.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
KEMAL KUKRER,Vinagre de Manzana 500 mL,S/ 16.80,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SAPOLIO,Lavavajilla Líquido Manzana 1250 ml,S/ 13.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
LONDA,JUGO DE MANZANA L ONDA X 1.89 L,S/ 13.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
SUAVITEL,Suavizante Cuidado Superior Frescura de Manzana,S/ 18.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,Mini Croissant Chips de Manzana y Canela 320 g,S/ 9.90,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
TOTTUS,COMPOTA DURAZNO Y MANZANA X 90G,S/ 2.50,tottus,MANZANA DELICIA,2024-12-06 13:20:56.916085
