brand,description,price,website,search_term,scrape_timestamp
AJINOMOTO,Sazonador Bolsa 500 g,S/ 11.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Crema de Ají Tari 400 g,S/ 13.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,MAYONESA 850 GR,S/ 19.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Crema Huancaína 400 g,S/ 13.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MARINA,Sal de mar para cocina de 1 kg,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,VINAGRE BLANCO X 1 L,S/ 3.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
KIKKO,Salsa De Soya Siyau Frasco x 500 mL,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Sal de Maras Fina Orígenes Doypack 600 g,S/ 9.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Mayonesa Doypack 475 g,S/ 14,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Vinagre de Manzana Pack 2 Unidades,S/ 24.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Canela Entera Kariño 9 g,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Comino molido 60 gr,S/ 6.70,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,Caldo de Gallina Doña Gusta 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MAGGI,Caldo sabor gallina - 25 unidades,S/ 5.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
2 BANDERAS,Aderezo para Pavo 300 g,S/ 8.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Pimienta negra molida 60 g,S/ 8.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Pimienta Negra Molida Frasco 56. 7 g,S/ 10.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MAGGI,Cubo de Sabor Gallina 8 unidades,S/ 4.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Pimienta 100% Pura 21.6 g,S/ 4.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMIX,Sazonador de arroz Deliarroz 6 unidades,S/ 1.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MAGGI,Mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/ 3.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
PIKI,Aderezo para Pavo 350 g,S/ 9.30,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
PIKI,Aderezo para Pollo 200 g,S/ 11,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
PIKI,Aderezo para Pollo 350 g,S/ 3.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
EL OLIVAR,Aderezo Casero 500 g,S/ 15,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
EL OLIVAR,Aderezo Casero 1 kg,S/ 28,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
EL OLIVAR,Aderezo Casero 200 g,S/ 8.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SAM WONG,Aderezo Cantonés 85 g,S/ 5,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
2 BANDERAS,Aderezo Oriental 85 g,S/ 3.80,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
PIKI,ADEREZO PARA CERDO 350 GRS.,S/ 10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SAM WONG,Aderezo Especial 90 g,S/ 4.56,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
2 BANDERAS,Aderezo para Pachamanca 300 g,S/ 9.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SAM WONG,Aderezo para Hornear 220 g,S/ 9.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
2 BANDERAS,Aderezo para Adobo 100 g,S/ 3.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MAGGI,Cubo de Sabor a Carne 8 unidades,S/ 4.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,Sazonador Bolsa 250 g,S/ 6.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
2 BANDERAS,Aderezo Criollo Bbq 90 g,S/ 3.45,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SAM WONG,Aderezo Especial Parrillero 400 g,S/ 15,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Ajo molido Siba de 250 g,S/ 15,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Vinagre de Manzana 500 mL,S/ 8.30,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,Caldo Sabor Costilla de Res Doña Gusta 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Pimienta negra molida 198 g,S/ 34.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Canela molida de 50 g,S/ 8,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Salsa de Rocoto Uchucuta 400 g,S/ 13.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
PIKI,Ajo Molido 350 g,S/ 12.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Ajo en Polvo 85.5 g,S/ 11.70,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Mayonesa 190 g,S/ 8.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Comino 216 g,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,SOPA INSTANTANEA VASO SABOR GALLINA PICANTE X 51G,S/ 3.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Sazonador Panquita Pack 3 Unidades,S/ 3.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
FLORIDA,Vinagre de vino blanco de 1 litro,S/ 4.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Ajo en polvo 297 g,S/ 28.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Orégano molido 35 g,S/ 5.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Ajos en polvo de 50 g,S/ 7,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,Ketchup 380 g,S/ 9.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MARINA,Sal de mar de mesa Emsal de 1 kg,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Ajo Molido 3 Unidades 72 g,S/ 4.75,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
ALACENA,MAYONESA LIGHT 400 GR,S/ 14.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Pimienta Negra Molida 20 g,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Hongos y Laurel 10 g,S/ 2,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Pimiento Paprika 45 g,S/ 5.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Orégano Pack 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
COSTENO,Sazonador Pops Costeño de Mantequilla de 81 g,S/ 10.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Pimentón en Polvo Frasco 56.7 g,S/ 11.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,Caldo Sabor Carne Doña Gusta 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Sazonador para carne,S/ 21,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Sazonador Ajinomix Pop Corn Mantequilla Caja x 6 Sobres,S/ 3.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Tuco Tallarines 50.4 g,S/ 5.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Canela en Polvo 56.7 g,S/ 10.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Canela Entera 5 g,S/ 2.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Sazonador 6 unidades,S/ 2.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Romero 10 g,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Pimienta blanca molida 60 g,S/ 8,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
KIKKO,Salsa De Tamarindo Wantan Frasco x 350 mL,S/ 8.64,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Kión Molido Frasco 42.5 g,S/ 9.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Nuez Moscada Entera Kariño 13 g,S/ 5.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Sazón Completa 99.2 g,S/ 10.60,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Orégano Entero Kariño 18 g,S/ 3.30,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOSILLAO,Ajino Sillao 500 mL,S/ 4.70,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMIX,Mezcla lista para empanizar picante Ajinomoto 80 g,S/ 3,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Hongos y Laurel 10 g,S/ 2.70,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
CARMENCITA,Nuez Moscada Molida 30 g,S/ 16.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
BADIA,Perejil 7 g,S/ 4.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
,Clavo de Olor Entero Kariño 8 g,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Canela Entera 10 g,S/ 3.70,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Ají Criollo 400g,S/ 13.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
COSTENO,Arveja Partida Costeño 500 g,S/ 4.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Salsa de Aji Amarillo,S/ 11.40,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
SIBARITA,Ají Amarillo En Pasta Amarillin Doypack x 550 g,S/ 18.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
AJINOMOTO,Sazonador Bolsa 100 g,S/ 2.90,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
TOTTUS,Ajonjolí 20 g,S/ 2.10,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
MAGGI,CUBITOCARNE MAGGIX100G,S/ 5.50,tottus,ADEREZOS HIDRATADOS,2024-12-07 14:06:52.167632
