brand,description,price,website,search_term,scrape_timestamp
TOTTUS,VINAGRE BLANCO X 1 L,S/ 3.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Vino Blanco Rutini Reserva Sauvignon 750 mL,S/ 36.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Vinagre de Vino Blanco 500 mL,S/ 3.30,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Vino Blanco Sauvignon Casa Viva 750 mL,S/ 26.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Pan Molde Blanco Sin Corteza 560 g,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Vino Chardo Marques De Casa Concha 14° 750 mL,S/ 79.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Vino blanco semi seco 750 mL,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Guantes de Látex con Polvo Blanco,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Espejo Joyero Blanco 35x153 cm,S/ 159,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,PAN MOLDE BLANCO X 750GR,S/ 10.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
,Plato Blanco 23 Tami 20 und,S/ 8.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
DOVE,Packx3 Jabón Blanco 90 g,S/ 12.50,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Pan De La Casa Blanco 350 g,S/ 5.20,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
BIMBO,Pan de Molde Blanco Xl 750 g,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,PAN MOLDE BLANCO X 480 GR,S/ 7.60,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Escritorio con 2 Cajones en Color Blanco,S/ 169,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TOTTUS,Bolsa Compostable Mediana,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Estante 5 Divisiones Blanco,S/ 129,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Ropero 6 Puertas 1 Cajon 1 Zapatera Blanco,S/ 299,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Set x2 Silla De Bar Begonia Blanca,S/ 219,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Ropero 3 Puertas Corredizas Con Espejo Blanco,S/ 479,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Ropero 8 Puertas Blanco,S/ 499,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Camisa Moda Bolsillo Guayabera Hombre,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Ropa De Baño Full Print Hombre,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CARTAVIO,Ron Blanco 40° 1 L,S/ 22.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LG,Lavadora WT16WVTB 16 Kg TurboDrum Carga Superior Blanco,"S/ 1,399",tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
OFISCOOL,Papel Bond Fotocopia 75 Gr A-4 500 Hojas,S/ 13.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Short Jean Desgaste Mujer,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Falda Jean Mujer,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CASA JOVEN,Juego de Comedor 4 Sillas Tulip Blanco 80x80x75 cm,S/ 549,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CARTAVIO,Ron Blanco 750 mL,S/ 19.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
OPAL,Detergente en Polvo Blancos Bolsa 2.4kg,S/ 26.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Hombre,S/ 16.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Short Jean Mom Mujer,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Blusa Textura Mujer,S/ 34.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Teen Niño,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LG,Lavadora WT13WPBK 13 Kg Smart Motion Carga Superior Blanco,"S/ 1,099",tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Hombre,S/ 16.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Pack X2 Legging Bebé Niña,S/ 19.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Bvd Jersey Bobo Full Print Niña,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Panal Mujer,S/ 19.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Mujer,S/ 16.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Niño,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
FLORIDA,Vinagre de vino blanco de 1 litro,S/ 4.60,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Crop Estampado Niña,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Short Denim Rasgado Niña,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Short Denim Paper Niña,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Polo Estampado Manga Corta Bebé Niña,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Pack X2 Leggings Biker Niña,S/ 19.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Enterizo Tiras Niña,S/ 14.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Short Denim Full Print Niña,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Pijama Corta Tiras Mujer,S/ 34.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Pijama Manga Corta Y Short Niño,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
REDWOOD,Boardshort Mujer,S/ 19.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
PAN,Harina de Maíz Blanco Precocido 1 kg,S/ 8.50,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
RECCO,Hervidor Eléctrico Blanco 2.5 Litros,S/ 59.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LAN,VINO BLANCO X 750ML,S/ 42.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
DON MAMINO,Pan de Molde Blanco sin Corteza 560 g,S/ 13.50,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
INTIPALKA,Vino Blanco Sauvignon Blanc 750 mL,S/ 33.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
NESTLE,Manjar Blanco Nestlé 1 kg,S/ 23.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
BLACK TOWER,Vino Blanco 750 mL,S/ 39.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
FRONTERA,Vino Blanco 12.5° 750 mL,S/ 22.50,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
OSTER,Hervidor plástico de 3.5 litros en color blanco,S/ 149,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
SANTIAGO QUEIROLO,Vino Blanco 10° 750 mL,S/ 17.50,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
BIMBO,PAN BLANCO SIN BORDES 650G,S/ 9.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
NESTLE,Manjar Blanco Nestlé 500 g,S/ 13.10,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TACAMA,Vino Blanco Semi Seco 14° 750 mL,S/ 16.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
COLOMBINA,Marshmellows Millows Cilindro Blanco 145 g,S/ 4.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
ESCORIHUELA GASCON,Vino blanco Escorihuela Gascón Sauvignon Blanc 750 mL,S/ 64.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LAS MULAS,Vino Blanco Sauvignon 750 mL,S/ 48.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
E COPELLO,Vino Blanco Moscato Ecopello 750 mL,S/ 15.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
MONTES,Vino Blanco Chardonnay Classic Series 13.9° 750 mL,S/ 36.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TABERNERO,Vino Blanco De Blancos 12° 750 mL,S/ 28.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TACAMA,Vino blanco de blancos Sauvignon 750 mL,S/ 42.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
VENTURO,Vinagre de Vino Blanco 600 mL,S/ 5.20,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
VINA VIEJA,Vino Chenin Blanco Semiseco Perú Viña Vieja 11° 750 mL,S/ 13.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
INTIPALKA,Vino Blanco Chardonnay 14.5° 750 mL,S/ 33.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
TABERNERO,Vino Blanco Semi Seco 11.5° 750 mL,S/ 16.70,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LAIVE,Manjar Blanco x 500 g,S/ 11.30,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
FAUSTINO,Vino Blanco 750 mL,S/ 67.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
MARQUES DE VITORIA,Vino blanco Marqués de Vitoria 750 mL,S/ 34.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
BERNINA,Vino Blanco 750 mL,S/ 12.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
SANTIAGO QUEIROLO,Vino Blanco 0.75L,S/ 14.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
RAIMAT,Vino Blanco Solana 750 mL,S/ 29.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
NAVARRO CORREAS,Vino Blanco Selección De Parcelas Chardonnay 14.2° 750 mL,S/ 59.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
MONTESIERPE,VINO BLANCO CHENIN BT 750ML,S/ 13.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
EL COTO,Vino blanco semidulce 750 mL,S/ 47.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
CATENA ZAPATA,Vino Blanco 750 mL,S/ 349.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
FINCA ROTONDO,Vino Patrimonial Quebranta Blanco 750 mL,S/ 32.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LOS HAROLDOS,Vino Blanco Chenin 750 mL,S/ 47.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
MONTESIERPE,Vino blanco Chenin seco 750 mL,S/ 23.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
FINCA LA LINDA,Vino Blanco Torrontes 750 mL,S/ 44.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
PROTOS,Vino Blanco Verdejo 13° 750 mL,S/ 49.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
ALAMO,Vino Blanco Torrontés Alamos 13.5° 750 mL,S/ 39.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
KAIKEN,Vino Blanco Terroir Series 750 mL,S/ 51.90,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
LIBERO,Congeladora 100 L Blanco,S/ 499,tottus,AZÚCAR BLANCA,2024-12-07 13:54:30.381781
