brand,description,price,website,search_term,scrape_timestamp
OLE OLE,Olé Olé Vainilla 225 g,S/ 9.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
COLOMBINA,Marshmallows Millows Osos 250g,S/ 10.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Shake 30g 24 Unidades,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
OLE OLE,Olé Olé Navidad 165 g,S/ 6.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMBROSOLI,Caramelos Arbolito 60 Unidades,S/ 8.30,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMBROSOLI,Caramelos Súper Rellenazo Chicle 100 Unidades,S/ 11.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
ARCOR,Caramelo de Chicha Morada 100 Unidades,S/ 9.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
BON BON BUM,Mystery x 432 g,S/ 8.15,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupete Agridulce 432 g,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
SPARKIES,Bubbaloo 25g x 20 Unidades,S/ 31.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMBROSOLI,Caramelos Toffee Sabor Menta Bolsa x 550 g,S/ 14.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
,Caja de caramelos Topps Ring Pop de 12 unidades,S/ 30,tottus,CARAMELOS,2024-12-07 13:58:14.193172
ARCOR,Caramelos de Limón 100 Unidades,S/ 9.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
COLOMBINA,Millows Navideños 145 g,S/ 4.40,tottus,CARAMELOS,2024-12-07 13:58:14.193172
COLOMBINA,Marshmallows Millows Sabor Vainilla 145 g,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupetín Trio 25 unidades,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TOTTUS,Gomitas Rueditas 100 g,S/ 3.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
