brand,description,price,website,search_term,scrape_timestamp
REDWOOD,Sudadera Franela Bebé Niña,S/ 14.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Enterizo Moda Botones Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Legging Mini Print Bebé Niña,S/ 16.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Body Bvd Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Polo Estampado Manga Corta Bebé Niña,S/ 9.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Polo Estampado Manga Corta Bebé Niña,S/ 9.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Sudadera Polar Bebé Niña,S/ 12.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Fiesta Bordes Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Basico Skate Bebé Niña,S/ 16.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Botones Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Short Denim Full Print Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Polo Rib Bobo Bebé Niña,S/ 16.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Ropa De Baño Manga Larga Bebé Niña,S/ 29.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Fiesta Rib Tul Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Poleron Fiestas Patrias Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Zapatos Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Body Moda Tecnica Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Tul Manga Larga Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Basico Rib Bebé Niña,S/ 16.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Conjunto Jersey Polo Y Short Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Short Chambray Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Denim Moda Tul Bebé Niña,S/ 34.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Body Moda Rib Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Tul Bebé Niña,S/ 29.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Moda Panal Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Moda Manga Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Rib Full Print Bebé Niña,S/ 24.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Vestido Capas Macrame Bebé Niña,S/ 39.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Ropa De Baño Tecnica Manga Larga Bebé Niña,S/ 29.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Ropa De Baño Tutu Bebé Niña,S/ 29.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Short Elastico Macrame Bebé Niña,S/ 34.90,tottus,FRESA,2024-12-07 13:33:12.680852
REDWOOD,Body Moda Macrame Bebé Niña,S/ 19.90,tottus,FRESA,2024-12-07 13:33:12.680852
