brand,description,price,website,search_term,scrape_timestamp
COSTENO,Garbanzo Costeño 500 g,S/ 7.40,tottus,GARBANZO,2024-12-07 13:49:57.239537
TOTTUS,Garbanzos 500 g,S/ 7.23,tottus,GARBANZO,2024-12-07 13:49:57.239537
WASI ORGANICS,Palitos De Quinua Y Garbanzo Q Sticks Sabor Finas Hierbas Bolsa 30 g,S/ 4.10,tottus,GARBANZO,2024-12-07 13:49:57.239537
DYFFERENT,Crunch Garbanzo Sal Rosada Pimienta 100 g,S/ 6.30,tottus,GARBANZO,2024-12-07 13:49:57.239537
SANUA,HAMBURGUESA GARBANZOS Y ESPINACA X 600G,S/ 24.90,tottus,GARBANZO,2024-12-07 13:49:57.239537
TOTTUS,Garbanzo con Tocino 425 g,S/ 7.80,tottus,GARBANZO,2024-12-07 13:49:57.239537
WASI ORGANICS,Palitos De Quinua Y Garbanzo Q Sticks Sabor Mix Aji Bolsa 30 g,S/ 4.10,tottus,GARBANZO,2024-12-07 13:49:57.239537
DYFFERENT,Crunch Garbanzo BBQ 100 g,S/ 6.30,tottus,GARBANZO,2024-12-07 13:49:57.239537
DYFFERENT,Crunch Garbanzo Cheddar Dyff 100 g,S/ 6.30,tottus,GARBANZO,2024-12-07 13:49:57.239537
CASA VERDE,Garbanzos x 340 g,S/ 7.50,tottus,GARBANZO,2024-12-07 13:49:57.239537
