brand,description,price,website,search_term,scrape_timestamp
YOLODECORO,Escritorio modular Lomond de mango y negro,"S/ 2,349.90",tottus,MANGO,2024-12-07 13:33:51.768558
GLORIA,BEBIDA DE MANGO CAJA 1L,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
TOTTUS,Paleta de helado frutado de mango,S/ 8.90,tottus,MANGO,2024-12-07 13:33:51.768558
YOLODECORO,Escritorio Lucien de Mango Oscura,"S/ 2,449.49",tottus,MANGO,2024-12-07 13:33:51.768558
YOLODECORO,Escritorio Lucien mango y clara,"S/ 2,449.49",tottus,MANGO,2024-12-07 13:33:51.768558
MURANA,EXFOLIANTE MANGO Y DURAZNO 300 ML,S/ 20.72,tottus,MANGO,2024-12-07 13:33:51.768558
YOLODECORO,Escritorio con estantes Lomond de mango,"S/ 3,702.90",tottus,MANGO,2024-12-07 13:33:51.768558
WATTS,BEBIDAS DE MANGO CAJA 946ML,S/ 4.50,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Aplastador de Nylon con Mango de Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cucharón de Nylon con Mango de Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
PRECIO UNO,Cuchara de Nylon con Mango de Acero,S/ 3.90,tottus,MANGO,2024-12-07 13:33:51.768558
MURANA,HIDRATANTE BATIDO MANGO Y DURAZNO 300 ML,S/ 20.72,tottus,MANGO,2024-12-07 13:33:51.768558
TOTTUS,VAPEADOR MELOSO MAX STRAWBERRY MANGO DE 9000PUFF,S/ 85,tottus,MANGO,2024-12-07 13:33:51.768558
FRUMAS,JUGO DE MANGO DURAZNO X 400 ML,S/ 5.50,tottus,MANGO,2024-12-07 13:33:51.768558
KUSI,Mermelada de Mango con Chía y Stevia 230 g,S/ 12.90,tottus,MANGO,2024-12-07 13:33:51.768558
HERBAL ESSENCES,Shampoo Bio:Renew 6X Aloe y Mango Repara 400 mL,S/ 33.90,tottus,MANGO,2024-12-07 13:33:51.768558
FACUSA,Cuchillos Acero Inoxidable con Mango de Madera 4 Piezas,S/ 39.90,tottus,MANGO,2024-12-07 13:33:51.768558
FACUSA,"Cuchillo Doméstico Acero Inoxidable con Mango de Madera 7""",S/ 17.90,tottus,MANGO,2024-12-07 13:33:51.768558
FACUSA,"Cuchillo Shogun Acero Inoxidable con Mango de Madera 4.5""",S/ 12.90,tottus,MANGO,2024-12-07 13:33:51.768558
NUTRI CO,Avena Mix Mango y Chocolate 400 g,S/ 29.90,tottus,MANGO,2024-12-07 13:33:51.768558
FACUSA,"Cuchillo Doméstico Acero Inoxidable con Mango de Madera 5""",S/ 13.90,tottus,MANGO,2024-12-07 13:33:51.768558
FACUSA,"Cuchillo Doméstico Acero Inoxidable con Mango de Madera 8""",S/ 18.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Juego de 3 Pzas de Cuchillos de 1.5 Mm con Mango de Madera,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
FRUGOS DEL VALLE,Sixpack Bebida Frugos Mango 235 Ml Caja,S/ 8.20,tottus,MANGO,2024-12-07 13:33:51.768558
TOTTUS,Mango Congelada En Trozos 1Kg,S/ 16.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara de Silicona Mango Madera,S/ 9.90,tottus,MANGO,2024-12-07 13:33:51.768558
WATTS,Bebida Sabor Mango 1 L,S/ 3.90,tottus,MANGO,2024-12-07 13:33:51.768558
DANLAC,YOGURT GRIEGO DESCREMADO SABOR MANGO X 420 G,S/ 11.70,tottus,MANGO,2024-12-07 13:33:51.768558
GLORIA,Yogurt Griego Mango Descremado 120g,S/ 1.80,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cucharon de Nylon Mango,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espumadera de Silicona Mango Madera,S/ 9.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Triturador de Papas Nylon Mango PP,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula de Silicona Mango Madera,S/ 9.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Brocha de Silicona Mango Madera,S/ 9.90,tottus,MANGO,2024-12-07 13:33:51.768558
PRECIO UNO,Juego de Cubiertos 16Pz Mango Gris,S/ 12.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Nylon Mango Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula Calada Nylon Mango Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cucharon de Silicona Mango Madera,S/ 9.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula Bamboo Mango Silicona,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula Nylon Mango Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Juego de Cubiertos 16Pz Mango Rojo,S/ 14.90,tottus,MANGO,2024-12-07 13:33:51.768558
MOGU MOGU,Bebida sabor mango 320 mL,S/ 4.95,tottus,MANGO,2024-12-07 13:33:51.768558
FRUGOS DEL VALLE,BEBIDA MANGO X 970ML,S/ 3.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Spaghetti Nylon Mango Acero,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
,BODYMIST MINNIE MANGO X175 ML,S/ 17.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Juego de Cubiertos 16Pz Mango Glacial,S/ 14.90,tottus,MANGO,2024-12-07 13:33:51.768558
FRUVI,Bebida sabor mango 300 mL,S/ 2.20,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Bamboo Mango Silicona Color,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
PISCANO,Pisco Sour Mango 700 mL,S/ 17.90,tottus,MANGO,2024-12-07 13:33:51.768558
FRUMAS,BEBIDA MANGO MARACUYA 400ML,S/ 5.50,tottus,MANGO,2024-12-07 13:33:51.768558
TOTTUS,VAPEADOR BOOM MANGO ICE DE 3500PUFF,S/ 49.90,tottus,MANGO,2024-12-07 13:33:51.768558
MONSTER,Bebida energizante Mango Loco de 473 mL,S/ 8,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Juego de Cubiertos 16 Piezas Mango Turquesa,S/ 14.90,tottus,MANGO,2024-12-07 13:33:51.768558
,Shampoo Bendito Clima Lima Mango Amaras 700 mL,S/ 17.43,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula Nylon Mango PP,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
PORTON,Chilcano Pisco Portón Mango 355 mL,S/ 8.50,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara con Punta Bamboo Mango Silicona,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
FRUMAS,REP BEBIDA MANGO SANDIA 400ML,S/ 5.50,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Nylon Mango PP,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
LAIVE,Yogurt Griego Mango Maracuyá 800 g,S/ 10.50,tottus,MANGO,2024-12-07 13:33:51.768558
HERBAL ESSENCES,Acondicionador Bio Renew 6X Aloe & Mango 250 mL,S/ 33.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Juego de Cubiertos 16 piezas Mango Plastico Rojo,S/ 16.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Espátula Nylon Calada Mango PP,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara para Spaguetti de Nylon Mango PP,S/ 5.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Calada Acero Mango PP,S/ 7.90,tottus,MANGO,2024-12-07 13:33:51.768558
CASA JOVEN,Cuchara Calada Nylon Mango TPR,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
DANLAC,Yogurt Descremado Con Mango 900 g - Envase 900 g,S/ 19.50,tottus,MANGO,2024-12-07 13:33:51.768558
KERO,Bebida sabor mango maracuyá y camu camu de 475 mL,S/ 4.40,tottus,MANGO,2024-12-07 13:33:51.768558
,Shampoo Bendito Clima Lima Mango Amaras 400 mL,S/ 8.50,tottus,MANGO,2024-12-07 13:33:51.768558
GERBER,Compota Mango 6 meses pote x 113g,S/ 4.90,tottus,MANGO,2024-12-07 13:33:51.768558
FRUGOS DEL VALLE,Six Pack Mango Fresa 235 mL,S/ 8.20,tottus,MANGO,2024-12-07 13:33:51.768558
TRAMONTINA,Juego de Cuchillos Mango Madera Dynamic x 3 piezas,S/ 14.90,tottus,MANGO,2024-12-07 13:33:51.768558
,Serum Capilar Bendito Clima Lima Mango Amaras 120 mL,S/ 29.90,tottus,MANGO,2024-12-07 13:33:51.768558
,Tratamiento Capilar Amarás Bendito Clima De Lima Mango Frasco 300mL,S/ 15.90,tottus,MANGO,2024-12-07 13:33:51.768558
