brand,description,price,website,search_term,scrape_timestamp
,Salchicha de pollo San Fernando 250 g,S/ 5.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SAN FERNANDO,La Casera Con Pollo 910 g 14Un,S/ 13.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
,Hot Dog San Fernando ahumado de pollo de 440 g,S/ 10,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,Salchicha de pollo 500 g,S/ 5.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SALCHICHERIA ALEMANA,Jamon De Pierna Ahumado 150gr,S/ 10.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
,Salchicha de pollo San Fernando 500 g,S/ 9.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,Jamonada de Pollo 85 g,S/ 1.80,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,JAMONADA DE POLLO X 200G,S/ 4,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
BRAEDT,JAMON DE PIERNA X KG,S/ 58.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
BRAEDT,JAMON PIERNA X 200GR,S/ 15.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,Salchicha de pollo 250 g,S/ 3.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SUIZA,JAMONADA DE POLLO PQTE X 100GR,S/ 2.80,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
OTTO KUNZ,JAMONADA DE POLLO X 200G,S/ 7.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
CASA EUROPA,JAMON DE PIERNA AHUMADA X KG,S/ 78.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SUIZA,JAMONADA DE POLLO SALCHICHERIA X 200 GR,S/ 5.20,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SAN FERNANDO,Hot Dog Ahumado De Pollo 220 g (6 unidades),S/ 5.20,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,HOT DOG DE POLLO X 500G,S/ 9.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SAN FERNANDO,Nuggets Pechuga Pollo (24 unidades),S/ 14.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,ENROLLADO DE POLLO CON JAMON QUESO X1KG,S/ 26.18,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,Enrollado de Pollo Cordon Bleu 1.3 kg,S/ 26.93,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Enrollado de Pollo con Jamón y Guindón 1 jg,S/ 26.18,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
OSTER,Freidora De Aire 1.8 Lts Negra,S/ 129,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.55,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,HAMB. LA REDONDITA X 14 UND.,S/ 10.43,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
OSTER,Super Freidora de Aire 10Lts CKSTAFOV3-053,S/ 599,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AVINKA,Nuggets De Pollo 270gr,S/ 9.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Deditos De Pollo 12 Un,S/ 11,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Siu Mai de Pollo 241 g 12 unidades,S/ 15.30,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
SAN FERNANDO,Nuggets De Pollo (10 unidades),S/ 4.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,MILANESA DE POLLO X 1 KG,S/ 29.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Pollo 80 g,S/ 1.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AVINKA,Chicharron De Pollo 350g,S/ 18.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,SOPA DE FIDEOS POLLO TOTTUSX 70 GR,S/ 2.40,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,TIRAS DE PECHUGA DE POLLO X 300GR,S/ 14.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Nuggets De Pollo 24 Unidades,S/ 14.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AVINKA,Milanesa De Pollo 4 Un,S/ 29,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
MIMASKOT,ALIM GATO ADUL POLLO CARNE SLMON BOL9KG,S/ 85.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Nuggets De Pechuga De Pollo 12 Un,S/ 8.60,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AVINKA,Apanado De Pollo 4 Un,S/ 15.70,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,DEDITOS DE PECHUGA DE POLLO X 300GR,S/ 13.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Nugget De Pollo Con Brocoli Y Queso 12 Un,S/ 12.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
TOTTUS,Enrollado de Pollo con Frutas Secas 1 kg,S/ 26.18,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Pollo Verduras 80 g,S/ 1.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,APANADO DE POLLO 2.1 KG,S/ 49.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
WHISKAS,POUCH ADULTO POLLO 85GR,S/ 4.20,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,HAMBURGUESA PARRILLERA DE POLLO - PAQUETE 600 GR,S/ 15.68,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
REDONDOS,NUGGETS DE POLLO MULTIGRANOS X 270 GR,S/ 8.60,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
MAGGI,Mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/ 3.50,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
,SUPREMA APANADA DE POLLO 1 KG SAN FERNANDO,S/ 29.90,tottus,PIERNA DE POLLO,2024-12-07 13:02:51.350863
