brand,description,price,website,search_term,scrape_timestamp
FARAON,Arroz Extra Faraón de 5 Kg,S/ 27.60,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra 5 kg,S/ 21.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Extra Costeño 5 kg,S/ 27.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Lentejas bebé de 500 g,S/ 5.72,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
BIMBO,Pan de Molde Blanco Xl 750 g,S/ 11.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PAISANA,Arroz Extra 5 Kg,S/ 23.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Costeño Añejo Bolsa x 10 Kg,S/ 45,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra de 10 kg,S/ 43.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios,S/ 16.60,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz superior de 10 kg,S/ 41.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Extra Valle Norte 5 kg,S/ 26.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Extra Gran Chalán 5 kg,S/ 26.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Costeño Añejo Extra Costeño 5Kg,S/ 26.20,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Extra Añejo Bolsa x 10 Kg,S/ 44.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Canasta Navidad 2024,S/ 53.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
NATURES HEART,INFUSION HERB SURTIDO CAJA X 20UND,S/ 11.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
AJINOMIX,Sazonador de arroz Deliarroz 6 unidades,S/ 1.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Harina sin Preparar 1 kg,S/ 6.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
FARAON,Arroz Superior Faraón de 5 Kg,S/ 24.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PAISANA,Arroz integral,S/ 7.70,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Superior 5 kg,S/ 20.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PACASMAYO,Arroz Extra 5K,S/ 25.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
FARAON,Arroz Extra Faraón 750 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Superior Valle Norte 5 kg,S/ 22.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Superior Añejo 5 Kg,S/ 22.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Extra Costeño 750 g,S/ 4.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Superior 750 g,S/ 3.80,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Integral 5 kg,S/ 23.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Quinua de 1 kg,S/ 17.78,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTA,Cereal Bar Chips 8 Unidades 21g,S/ 6.60,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PAISANA,Arroz Extra de 1 Kg,S/ 5.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PACASMAYO,Arroz Añejo 5K,S/ 26.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra Añejo 5 kg,S/ 25.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
FARAON,Arroz Superior x 750 g,S/ 4,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra 750 g,S/ 4.20,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Superior Costeño 5 kg,S/ 24.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Pan Petipan 600 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Extra Natural 750 g,S/ 4.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PAISANA,Arroz Superior 1 kg,S/ 5.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
PACASMAYO,Arroz Extra 750 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Superior Costeño 750 g,S/ 4.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Harina de Trigo Preparada 1 kg,S/ 7.10,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra Integral 750 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Superior Añejo 750 g,S/ 4.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
,Pan de Molde Rebanado Bimbo Fuente de Calcio 480 g,S/ 10.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Integral 750 g,S/ 5.59,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Embolsado Costeño Arborio 750 g,S/ 11.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Superior Gran Chalán 5 kg,S/ 24.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Superior Gran Chalán 5 kg,S/ 24.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Superior Valle Norte 750 g,S/ 3.99,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arroz Embolsado Costeño Parbolizado 750 g,S/ 5.60,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Harina De Arroz Costeño x 1 Kg,S/ 8.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
VALLENORTE,Arroz Extra Valle Norte 750 g,S/ 4.80,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Superior Gran Chalán 750 g,S/ 4.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Lentejas bebé de 1 kg,S/ 10.51,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Lenteja Costeño 500 g,S/ 7.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GRAN CHALAN,Arroz Integral Gran Chalán x 750 g,S/ 5.30,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
TOTTUS,Arroz Extra Añejo Premium 750 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
BIMBO,Pan de molde integral 480 g,S/ 10.70,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Frijol Canario Costeño 500 g,S/ 10.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
CASA JOVEN,MOLDE PARA ARROZ MADERA,S/ 26.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
CASA JOVEN,Cuchara de Madera para Arroz,S/ 10.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Arveja Partida Costeño 500 g,S/ 4.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
DON MAMINO,Pan de Molde Blanco sin Corteza 560 g,S/ 13.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Galletas de Arroz Clásicas Costeño 150 gr,S/ 6.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Galletas de arroz dulce costeño 150 gr,S/ 6.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
SANTIVERI,GALLETAS ARROZ SIN GLUTEN MARIA X210GR,S/ 17.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
,Galleta de Arroz Banana 50 g,S/ 14.99,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
SUBLIME,"Cereal de Arroz, Trigo, Maíz y Cacao 230g",S/ 13.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
EL DORADO,Pasta De Arroz Spaghetti x 250 g,S/ 15.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
EL DORADO,Pasta De Arroz Penne x 250 g,S/ 14.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
NUTRISA,Harina De Coco Mi Tierra x 400 g,S/ 15.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
GENERICO,Harina de Kiwicha Renacer 200 g,S/ 10.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Galleta De Arroz Costeño Clasica 45 g,S/ 2,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Galleta De Arroz Costeño Dulce 45 g,S/ 2,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
BIMBO,Pan de Molde Vital Integral Multicereal con Chía y Linaza 600 g,S/ 12.40,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
NESTUM,Cereal infantil Nestum® de arroz de 350 g,S/ 17.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Maíz Pop Corn Costeño 500 g,S/ 4.80,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
BIMBO,Pan Integral Xg 750 g,S/ 11.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
COSTENO,Galletas de arroz con tomate intenso costeño de 150 g,S/ 6.90,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
MOLINOS DEL MUNDO,Fettuccini de arroz y yuca sin gluten 400 g,S/ 21.50,tottus,ARROZ ENVASADO,2024-12-03 00:19:02.257496
