brand,description,price,website,search_term,scrape_timestamp
AJINOMOTO,Sopa Instantánea Ajinomen Sabor gallina 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Gallina Picante 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,Caldo de Gallina Doña Gusta 6 Unidades,S/ 2.20,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
MAGGI,Cubo de Sabor Gallina 8 unidades,S/ 4.50,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
MAGGI,Caldo sabor gallina - 25 unidades,S/ 5.50,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,SOPA INSTANTANEA VASO SABOR GALLINA PICANTE X 51G,S/ 3.40,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
GALLINAS LIBRES,PACK HUEVOS X 12UN,S/ 15.50,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
PRECIO UNO,Gallina Portahuevos Cromada,S/ 24.90,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,Sopa instantánea Ajinomen sabor gallina de 51 g,S/ 3.40,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Gallina Criolla 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
PROVENZAL,Mezcla para Ají de gallina 100 g,S/ 9.10,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
AJINOMOTO,Sopa Instantánea Ajinomen Gallina Light 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-03 01:05:15.604415
