brand,description,price,website,search_term,scrape_timestamp
LAYS,Pack Papas Lay's Clásicas 150g y Piqueo Snax 200g,S/ 13.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
KNORR,Puré de Papa 125 g,S/ 4.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
GRANEL,Cajonazo Papa Yungay 10 kg,S/ 28.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papa Jalapeno 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASA JOVEN,Escritorio con 2 Cajones en Color Blanco,S/ 169,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 3 Castaño Oscuro 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASA JOVEN,"Centro de Entretenimiento 65"" Cacao Brillo",S/ 399,tottus,PAPA COLOR,2024-12-03 02:01:10.103
ILKO,Pack Sartenes Granito Navy 20cm +26 cm +Wok 28cm +3 Utensilios Silver Industrial,S/ 179.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papa Salada 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Al Hilo Lay's 155g,S/ 5.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Pack Papas Lay's Clásicas 150g y Doritos Q/A 190g,S/ 13.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASA JOVEN,Estante de 7 Divisiones en Color Blanco,S/ 159,tottus,PAPA COLOR,2024-12-03 02:01:10.103
FRITO LAY,SURTIDO PIQUEO SNAX Y TOSTITOS 350G,S/ 9.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
REDWOOD,Short Jean Moda Colores Botones Mujer,S/ 44.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Dormitorio Majestic Black 2 Plazas + 2 almohadas + Protector,S/ 599,tottus,PAPA COLOR,2024-12-03 02:01:10.103
REDWOOD,Short Franela French Color Entero Mujer,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Colchón Majestic Black 1.5 Plazas,S/ 199,tottus,PAPA COLOR,2024-12-03 02:01:10.103
REDWOOD,Pantalon Color Entero Niño,S/ 34.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Colchón Majestic Black 2 Plazas,S/ 249,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Kit Tinte 668 Chocolate Claro Palette CC,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Ondas Picante 140g,S/ 5.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
VILLA NATURA,Chifle Salado 150 g,S/ 6.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
MALCREADO27154,Sofá Casabella Annette de 3 cuerpos en color Moreno,"S/ 1,339 - S/ 2,289",tottus,PAPA COLOR,2024-12-03 02:01:10.103
RECORD,Olla a Presión Alumpress 7L,S/ 409.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INDURAMA,EXTRACTOR 1.1 L 800 W ACERO INOXIDABLE EI-CR - EXTRACTOR,S/ 239,tottus,PAPA COLOR,2024-12-03 02:01:10.103
MALCREADO27154,Juego de sala Casabella Annette 3-2-1 color Moreno,"S/ 2,699 - S/ 4,669",tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Duopack Papas Nativas Mixta + Camotes Fritos,S/ 10.43,tottus,PAPA COLOR,2024-12-03 02:01:10.103
DISNEY,Scooter Baby 3 Ruedas Minnie,S/ 79.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
KENWOOD,"Televisor LED 32"" Android TV",S/ 499,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Duopack Papas Nativas Mixta + Plátanos Verdes Fritos,S/ 10.43,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Ondas Saladas 140 gr,S/ 5.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
DORITOS,Queso Atrevido 190g,S/ 9,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papa Bbq 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Puré de papas instantáneo 250 g,S/ 8.20,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papa Queso 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOSTITOS,Redondos Salados 280g,S/ 12,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Dormitorio Majestic Black 1.5 Plazas,S/ 499,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Papas al Hilo 100 g,S/ 3.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Clásicas 150g,S/ 5.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGLOO,Cooler Laguna 9 QT Azul,S/ 79.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
JFM,Tinte para Barba Just For Men Castaño Oscuro,S/ 49.06,tottus,PAPA COLOR,2024-12-03 02:01:10.103
FORLI,DORM SAMAY MARRON 2 PLZ + CAB+2ALM,S/ 699,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PRECIO UNO,Ropero 6 Puertas 2 Cajones Fendy Amendoa,S/ 349,tottus,PAPA COLOR,2024-12-03 02:01:10.103
NUTRISSE,Tinte para cabello Ultra Cobertura 300 Castaño Oscuro 157 mL,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Pelador de Papa Acero Inoxidable,S/ 4.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Dormitorio Royal Prince Con Cajones 2 Plazas Chocolate + 2 Almohadas Viscoelásticas + Protector,"S/ 1,799",tottus,PAPA COLOR,2024-12-03 02:01:10.103
SUAVITEL,Suavizante Fresca Primavera 2.3L,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
KING BABY,Camioneta Off Road 2 Asientos Negra,S/ 429,tottus,PAPA COLOR,2024-12-03 02:01:10.103
KING BABY,Camioneta Off Road 2 Asientos Negra,S/ 429,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PRINGLES,SOLA ORIGINAL 104G,S/ 9.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Clásicas 70g,S/ 4,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papas onduladas con tomate albahaca y aceite de oliva de 115 g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EL CISNE,Juego de Cama Raymi Black 2 Plazas,S/ 599,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Papa Hamburguesa Bembos 120 g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Cama Majestic Black 2 Plazas + 2 veladores flotantes + 2 almohadas,S/ 749,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Dormitorio Royal Prince Queen Champagne + 2 Almohadas Viscoelásticas + Protector,"S/ 1,899",tottus,PAPA COLOR,2024-12-03 02:01:10.103
INDURAMA,"Cocina 24"" con Encendido Eléctrico",S/ 999,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CHEETOS,Queso Picante 180g,S/ 8,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Papas Onduladas Picantes,S/ 4.13,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PLAY DOH,Masas y Plastilinas Kit Veterinario,S/ 65.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Dormitorio Tropical 2 Plazas + 2 Almohadas + Protector,S/ 869,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PARAISO,Dormitorio Royal Elizabeth Queen Charcoal + 2 Almohadas Viscoelásticas + Protector,"S/ 2,629",tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,PAPAS DUQUESAS 1KG,S/ 11.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Papa Seca 400 g,S/ 5.65,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte Sin Amoniaco 4U Castaño,S/ 38.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
GENERICO,Playset Lavado de Autos Cambia Color,S/ 49.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
POTATO HEAD,Figura Didáctica Cara De Papa Sra. Cara De Papa,S/ 38.40,tottus,PAPA COLOR,2024-12-03 02:01:10.103
GRANEL,Cajonazo de Papa Canchan 10 kg,S/ 28.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Papas Onduladas Natural,S/ 4.13,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PRECIO UNO,Pelador de Papa Acero Inoxidable,S/ 4.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 5 castaño claro 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
VILLA NATURA,Papas Al Hilo 250g,S/ 10.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASA JOVEN,Alfombra Shaggy 152X213 Cm Beige,S/ 159,tottus,PAPA COLOR,2024-12-03 02:01:10.103
REDWOOD,Ropa De Baño Color Entero Hombre,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Papas al Hilo 150 g,S/ 5.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CHEETOS,BOLIQUESO 110G,S/ 5,tottus,PAPA COLOR,2024-12-03 02:01:10.103
GENERICO,Pista de Autos Colores,S/ 39.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
POTATO HEAD,Figura Didáctica Cara De Papa Sr. Cara De Papa,S/ 38.40,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinte para Cabello Color Rojo Borgoño Intenso,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Clásicas 36g,S/ 2.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Nachos de Maíz Morado Perú Nachos 90 g,S/ 4.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
ROOT RETOUCHER,Retoca Raíces Aerosol Castaño Oscuro,S/ 30.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Chips de papas sabor original 134 g,S/ 7.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,PAPAS EN ONDAS X 150GR,S/ 5.70,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,PAPAS CUSQUENA BUFALO X 115G,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
LAYS,Papas Lay's Clásicas 210g,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CHEETOS,Horneados Mega Queso 90g,S/ 5,tottus,PAPA COLOR,2024-12-03 02:01:10.103
VILLA NATURA,CHIFLE SALADO BL 500 GR,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,PAPAS FRITAS EN HOJUELAS X185GR,S/ 6.30,tottus,PAPA COLOR,2024-12-03 02:01:10.103
VILLA NATURA,Papas al Hilo 150 g,S/ 6.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Papas en Hojuelas 175 g + Piqueo Andino 175 g,S/ 14.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CORN,Maíz Gigante Original 500 g,S/ 19.43,tottus,PAPA COLOR,2024-12-03 02:01:10.103
DORITOS,Queso Atrevido 90g,S/ 5,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Chips De Papas Sabor Picante 134gr,S/ 7.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Papas Nativas Mix 160 g,S/ 6.45,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASA JOVEN,Triturador de Papas Nylon Mango PP,S/ 5.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
KARINTO,Chifles 150g,S/ 9,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,Veggie Chips Tropical 125 g,S/ 8,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PLAY DOH,Masas y Plastilinas Dentista Bromista,S/ 65.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASTING CREME GLOSS,Tinte para Cabello Color 600 Rubio Oscuro 152.5 mL,S/ 33.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Piqueo Andino 175 g,S/ 7.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
FACUSA,Blíster Pelador de Papas,S/ 12.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Papa Nativa Mixta Tubo 100 g,S/ 8.93,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,PAPAS CUSQUENA HABANERO BBQ 115G,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
INKA CHIPS,PAPAS CUSQUENA FINAS HIERBAS Y LIMA 11,S/ 8.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
COSTENO,Papa Seca Costeño 500 g,S/ 8.40,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,PALETTE ICC COLOR POST TRATAMIENTO 200ML,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte Sin Amoniaco 5U Castaño Claro,S/ 38.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CHIZITOS,Chizito Fiesta Queso 190g,S/ 6.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
PROSHAPE,Matt para Yoga Morado,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Tinte para Cabello Color Creme Tono 6-60 Chocolate Oreo Palette 50 g,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Tortees Salado 138g,S/ 5,tottus,PAPA COLOR,2024-12-03 02:01:10.103
NUTRISSE,Tinte para Cabello 73 Miel 157 mL,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Kit Tinte 688 Rojo Rubí,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 6 rubio oscuro 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 6.11 rubio oscuro cenizo profundo 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 6.34 rubio oscuro chocolate 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 6.1 rubio oscuro cenizo 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Tinte para Cabello Color Creme Tono 6-0 Rubio Oscuro Palette 50 g,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 7.11 rubio cenizo profundo 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinte para Cabello Color Rubi Profundo 688i,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
JFM,Tinte para Barba Just For Men Negro,S/ 49.06,tottus,PAPA COLOR,2024-12-03 02:01:10.103
JFM,Tinte para Cabello Just For Men H-55 Negro,S/ 49.06,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinte para Cabello Color Chocolate Imperial 668,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
FACUSA,Prensador de Papas Acero Inoxidable,S/ 69.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Chifle Salado 150 g,S/ 5.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinto para Cabello Color Rubio Medio Cenizo 701,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
OSTER,Hervidor plástico de 3.5 litros en color blanco,S/ 149,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,Habas Saladas 150 g,S/ 4.99,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Kit Tintura para Cabello 699 Violeta Profundo Palette,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Tinte para Cabello Color Creme 5-68 Chocolate Palette 50 g,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Tinte para Cabello Color 81 Rubio Claro Cenizo Palette 50 g,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
ARCOR,Papa Noel Navidad x 110 g,S/ 15,tottus,PAPA COLOR,2024-12-03 02:01:10.103
BON O BON,ACRILICO PAPA NOEL 90G,S/ 19.01,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Vino tinto Papa Figos 750 mL,S/ 83.36,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TESORO DEL CAMPO,Papa Seca 500 g,S/ 7.30,tottus,PAPA COLOR,2024-12-03 02:01:10.103
SCHWARZKOPF,Tinte Color Creme Tono 3-0 Castaño Oscuro Palette 50 g,S/ 21.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TOTTUS,CHICHARRON DE CERDO X 150GR,S/ 11.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
NUTRISSE,Tinte para Cabello 61 Centeno 157 mL,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
NUTRISSE,Tinte para Cabello 40 Moca 157 mL,S/ 18.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte Capilar Permanente Sin Amoníaco 9U Rubio Claro Cenizo 1und,S/ 38.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Tinte Luminance Doble Rubio Claro 8.0,S/ 31.30,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinte rubio medio extra cenizo #7-11,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
GENERICO,Tortilla Chips Mexi Nachos 100 g,S/ 4.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte Capilar Permanente Sin Amoníaco 9U Rubio Claro Cenizo 1und,S/ 38.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
,Tinte Luminance Doble Rubio Claro 8.0,S/ 31.30,tottus,PAPA COLOR,2024-12-03 02:01:10.103
IGORA VITAL,Tinte rubio medio extra cenizo #7-11,S/ 31,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 9.1 rubio muy claro cenizo 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
CASTING CREME GLOSS,Tinte para Cabello 300 Castaño Oscuro 152.5 mL,S/ 33.50,tottus,PAPA COLOR,2024-12-03 02:01:10.103
EXCELLENCE,Tinte para cabello 4 castaño 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-03 02:01:10.103
TIYAPUY,Camotes Fritos 160 g,S/ 4.65,tottus,PAPA COLOR,2024-12-03 02:01:10.103
