brand,description,price,website,search_term,scrape_timestamp
Thor,"Comida para Perros THOR Adulto Clásico Carne, Pollo, Cerdo Bolsa 25kg",S/ 110.90 5%,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Thor,"Comida para Perro THOR Adulto Sabor Carne, Pollo y Cerdo Bolsa 2 kg",S/ 14.50,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Doritos,Tortillas de Maíz DORITOS Queso Atrevido Bolsa 90g,S/ 4.20,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Vega,Tortillas de maiz VEGA Natural Bolsa 150g,S/ 3.90,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Vega,Tortillas de maiz VEGA Picante Bolsa 150g,S/ 3.90,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Doritos,Tortillas de maíz DORITOS Dinamita Bolsa 35g,S/ 2.50,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Doritos,Tortillas de maíz DORITOS Dinamita Limón Bolsa 35g,S/ 2.50,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 3L,S/ 6.90,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Timonel,Frijol Castilla TIMONEL Bolsa 400g,S/ 4.60,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Vega,Frijol Castilla VEGA Bolsa 400g,S/ 4.30,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
INKA CHIPS,Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa 125gr,S/ 7.80,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 400ml,S/ 1.50,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
Arcor,Gomitas MOGUL Pastillas Frutales Extreme bolsa 35 g,S/ 1.50,vega,COSTILLA DE CERDO,2024-12-04 13:20:13.296883
