brand,description,price,website,search_term,scrape_timestamp
Costeño,Maíz Pop Corn COSTEÑO Bolsa 500g,S/ 4.90,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Vega,Cancha con Chifle VEGA Pote 150g,S/ 5.80,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
VALLENORTE,Maíz Pop Corn VALLENORTE Bolsa 500gr,S/ 5.30,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Vega,Cancha Chullpi + Chifle Salado VEGA Pote 150g,S/ 4.30,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Villa Natura,Cancha Chulpi VILLA NATURA Bolsa 500gr,S/ 20.00,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
SUPER CAT,"Comida para Gatos SUPER CAT Adulto Sardina, Atún y Trucha Bolsa 9 kg",S/ 73.50 43%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,"Comida para Gatos SUPER CAT Adulto Carne, Pollo y Leche Bolsa 9 kg",S/ 73.50 43%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,Comida para Gatos RICOCAT Adultos Festival de Sabores Bolsa 15kg,S/ 125.49 37%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,Comida para Gatos RICOCAT Adultos Esterilizados Saco 15K,S/ 125.49 37%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,"Comida para Gatos RICOCAT Adultos Pollo, Sardina y Salmón Bolsa 15kg",S/ 133.90 32%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocan,Comida Para Perros RICOCAN Adultos Pequeños Cordero y Cereal Bolsa 22Kg,S/ 144.90 31%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Dog Chow,Comida para perros DOGCHOW Adultos Razas Medianas y Grandes Bolsa 8kg,S/ 88.50 11%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocan,Comida Para Perros RICOCAN Adultos Todas las Razas Multisabores Bolsa 15Kg,S/ 98.90 9%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Friskies,Comida para Gatos FRISKIES Adulto Selección Especial Bolsa 7.5kg,S/ 87.00 8%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Viña Vieja,Vino VIÑA VIEJA Gran Rosé Semi Seco Botella 750ml,S/ 13.90 7%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
CAT CHOW,Comida para Gatos CAT CHOW Adulto Esterilizados Defense Plus Bolsa 8kg,S/ 105.50 3%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Michicat,Comida para Gatos MICHICAT Adulto Sabor a Pollo y Sardina Saco 18K,S/ 111.90 3%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,Comida para Gatos RICOCAT Esterilizados Bolsa 9 kg,S/ 80.20 2%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
Ricocat,Comida para Gatos RICOCAT Festival de Sabores Bolsa 9 kg,S/ 80.20 2%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238
