brand,description,price,website,search_term,scrape_timestamp
Ideal,Mezcla Láctea IDEAL Amanecer Lata 390gr Paquete 6u,S/ 18.90 8%,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Ideal,Mezcla Láctea IDEAL Cremosita Lata 390gr Paquete 6u,S/ 22.00 2%,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Ideal,Mezcla Láctea IDEAL Cremosita Tableta 24u Lata 390gr,S/ 98.40,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Laive,Mezcla Láctea LAIVE Sin Lactosa Light Caja 480g Paquete 6u,S/ 26.40,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Bonle,Mezcla Láctea BONLE Familiar Caja 480g Paquete 6u,S/ 23.40,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Nestle,Mezcla Láctea IDEAL Cremosita Lata 390gr,S/ 3.80,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Bonle,Mezcla Láctea BONLE Sin Lactosa Caja 480g Paquete 6u,S/ 24.00,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Bonle,Mezcla Láctea UHT BONLÉ Bolsa 800ml,S/ 3.80,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Bonle,Mezcla Láctea BONLÉ Cremosa Sixpack Lata 390gr,S/ 21.00,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
Bonle,Mezcla Láctea BONLE Familiar Caja 480g Pack 12u,S/ 46.80,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687
