brand,description,price,website,search_term,scrape_timestamp
Blanca Flor,Panetón BLANCA FLOR Caja 900g,S/ 24.90 11%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Blanca Flor,Harina BLANCA FLOR Preparada Paquete 1Kg,S/ 8.00,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Magia,Detergente en Polvo MAGIA BLANCA Lavanda Bolsa 2Kg,S/ 17.50 15%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Magia,Detergente en Polvo MAGIA BLANCA Floral Bolsa 2Kg,S/ 17.50 15%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Magia,Detergente en Polvo MAGIA BLANCA Lavanda Bolsa 4Kg,S/ 31.50 9%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Magia,Detergente en Polvo MAGIA BLANCA Floral Bolsa 4Kg,S/ 31.50 9%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Clorox,Quitamanchas CLOROX Ropa Blanca Botella 1800ml,S/ 20.40 4%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Sporade,Bebida Rehidratante SPORADE Uva Botella 500ml x 2u,,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Clorandina,Lavavajilla en Pasta CLORANDINA Uva Pote 1000gr,S/ 6.30,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Vega,Azúcar Blanca VEGA Bolsa 1Kg,S/ 5.10,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Universal,Azúcar Impalpable UNIVERSAL Bolsa 200gr,S/ 3.10,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Magia,Detergente en Polvo MAGIA BLANCA Lavanda Bolsa 780g,S/ 8.50,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Fini,Gomas FINI Regaliz Uva Ácida Bolsa 80gr,S/ 4.20,vega,UVA BLANCA,2024-12-04 13:57:54.874714
CABO BLANCO,Ron CABO BLANCO Black Botella 1L,S/ 17.90,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Suave,Papel Higiénico SUAVE Cuidado Completo Paquete 2un Plancha 10u,S/ 20.25 22%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Suave,Papel Higiénico SUAVE Junior Doble Hoja Plancha 12 Pack 4u,S/ 39.30 14%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Kolynos,Pasta Dental KOLYNOS Súper Blanco Tubo 60ml,S/ 3.30 11%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Gran Chalan,Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Faraon,Arroz Extra FARAON Bolsa 5Kg,S/ 26.20 4%,vega,UVA BLANCA,2024-12-04 13:57:54.874714
Costeño,Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,UVA BLANCA,2024-12-04 13:57:54.874714
