brand,description,price,website,search_term,scrape_timestamp
Quaker,Avena QUAKER Original Bolsa 900gr,S/ 11.50 21%,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena 3 OSITOS Premium 900g,S/ 9.50 17%,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena con Quinua 3 OSITOS Premium 900g,S/ 10.69 14%,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena Clásica 3 OSITOS Bolsa 500gr,S/ 6.00 8%,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Quaker,Avena QUAKER Tradicional Bolsa 100gr,S/ 1.30,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena 3 OSITOS Clásica Económica Bolsa 100g,S/ 1.50,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Santa Catalina,Avena SANTA CATALINA Bolsa 900g,S/ 11.00,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Quaker,Avena QUAKER Tradicional Bolsa 500gr,S/ 7.20,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena 3 OSITOS Clásica Económica Bolsa 100g Paquete 24u,,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Quaker,Avena QUAKER Tradicional Bolsa 200g,S/ 4.60,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena 3 OSITOS Clásica Económica Bolsa 100g x3u,,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Grano De Oro,Avena GRANO DE ORO Bolsa 1kg,S/ 10.50,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Timonel,Avena TIMONEL Precocida Instantánea Bolsa 100g,S/ 1.00,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Timonel,Avena TIMONEL Precocida e Instantanea Bolsa 900g,S/ 7.50,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Santa Catalina,Avena SANTA CATALINA con Kiwicha Bolsa 280gr,S/ 4.80,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Santa Catalina,Avena SANTA CATALINA con Maca Bolsa 280gr,S/ 4.80,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Grano De Oro,Avena GRANO DE ORO Bolsa 370gr,S/ 4.00,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
3 Ositos,Avena con Cereal Andino 3 Ositos Bolsa 270g,S/ 3.60,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
Grano De Oro,Avena GRANO DE ORO Bolsa 10kg,S/ 69.40,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161
