brand,description,price,website,search_term,scrape_timestamp
Primor,Filete de Atún PRIMOR en Aceite Vegetal Lata 140g x6u,S/ 32.40 17%,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Filete de Atún VEGA en Aceite Vegetal Lata 150g x6u,S/ 27.00 6%,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Gloria,Filete de atún GLORIA Lata 140g x 6u,S/ 35.94,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Florida,Filete de Atún FLORIDA en Aceite Vegetal Lata Pack 6 lata 140g,S/ 33.60 12%,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Filete de Bonito VEGA en Aceite Vegetal Lata 170gr,S/ 4.20,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Filete de Atún VEGA en Aceite Vegetal Lata 150g,S/ 4.90,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Florida,Filete de Atún FLORIDA en Aceite Vegetal Lata 140g x12u,S/ 76.80,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Filete de Caballa VEGA en Aceite Vegetal Lata 170g,S/ 4.40,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Primor,Filete de Atún PRIMOR en Aceite Vegetal Lata 140g,S/ 5.80,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Gloria,Filete de atún GLORIA Lata 140g,S/ 5.80,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Inca Mar,Filete de Atún INCA MAR en Aceite Vegetal Lata 140gr,S/ 5.50,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Florida,Filete de Atún FLORIDA en Aceite Vegetal Lata 140g,S/ 6.00,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Timonel,Filete de atún TIMONEL en Aceite Vegetal 150gr,S/ 5.20,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Filete de Bonito VEGA en Aceite Vegetal Lata 170gr Pack 6u,S/ 24.60,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Vega,Combo Filete atún VEGA Lata 150g + Spaguetti VEGA Bolsa 500g,S/ 7.50,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
Timonel,Combo Agua TIMONEL Botella 2.5L + Filete de caballa VEGA Lata 170g + Galleta Soda SAN JORGE Paquete 7u,S/ 11.00,vega,FILETE DE PESCADO EN CONSERVA,2024-12-05 12:18:10.007111
