brand,description,price,website,search_term,scrape_timestamp
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g Display 12u,S/ 28.80,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90gr,S/ 2.60,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Del Valle,Infusiones DEL VALLE Te Canela Clavo Caja 25 un,S/ 1.70,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Del Valle,Infusiones DEL VALLE Manzanilla Caja 25 un,S/ 1.70,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g,S/ 2.60,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Del Valle,Infusiones DEL VALLE Anís Caja 25 un,S/ 1.70,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO Tradicional Tableta 90gr,S/ 2.60,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Del Valle,Infusiones DEL VALLE Menta Muña Caja 25u,S/ 2.30,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Del Valle,Infusiones DEL VALLE Anís Caja 100 un,S/ 6.40,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
Huerto Del Eden,Infusiones Manzanilla HUERTO Caja 25 un,S/ 2.20,vega,JAMÓN DEL PAÍS,2024-12-05 12:07:21.544605
