brand,description,price,website,search_term,scrape_timestamp
Arcor,Caramelos MISKY Frutales Bolsa 275gr,S/ 4.90,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos MISKY Chicha Morada 275g Bolsa 110un,S/ 4.90,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Banderita Bolsa 80 un,S/ 4.20,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Cocorokos Limón Bolsa 100 un,S/ 6.20,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Relleno Fresa Bolsa 100u,S/ 12.70,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Menta y chocolate Bolsa 73 un,S/ 8.90,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Frutina Bolsa 60 un,S/ 4.80,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos MISKY sabor a Limón Bolsa 275gr,S/ 4.90,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Leche Bolsa 100 un,S/ 8.50,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Gajo de Limón Bolsa 100 un,S/ 6.80,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Chicha Morada 100u Bolsa 360g x 2u,S/ 17.00,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Bonami fruta Bolsa 100 un,S/ 8.40,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Bonami licor Bolsa 100 un,S/ 8.40,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Frutas 100u Bolsa 330g x 2u,,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Chicha Bolsa 100 un,S/ 7.50,vega,CARAMELOS,2024-12-06 12:26:06.372088
Ambrosoli,Caramelos AMBROSOLI Super Rellenos con chicle Bolsa 100 un,S/ 8.00,vega,CARAMELOS,2024-12-06 12:26:06.372088
Barbie,Caramelo BARBIE Anillo Diamante Bolsa 13Gr,S/ 1.80,vega,CARAMELOS,2024-12-06 12:26:06.372088
Arcor,Caramelos ARCOR Saquito de Frutas Bolsa 73 un,S/ 9.90,vega,CARAMELOS,2024-12-06 12:26:06.372088
Sparkies,Caramelo BUBBALO Sparkies Bolsa 25gr,S/ 1.50,vega,CARAMELOS,2024-12-06 12:26:06.372088
Globo Pop,Chupetes GLOBO POP Sabor Fresa Bolsa 24u 480g x 2u,S/ 15.60,vega,CARAMELOS,2024-12-06 12:26:06.372088
