brand,description,price,website,search_term,scrape_timestamp
Vega,Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Timonel,Trigo mote TIMONEL Bolsa 400g,S/ 2.90,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 22.50 2%,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Lata 355ml,S/ 22.90,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Molitalia,Sémola de Trigo MOLITALIA Bolsa 200gr,S/ 1.70,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Costa,Galletas Integral COSTA con Salvado de Trigo Paquete 6u 37g,S/ 4.30,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Cusqueña,Pack 2 Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 47.80,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Victoria,Galleta INTEGRACKER con Salvado de Trigo Paquete 9un,S/ 6.80,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
Tabernero,Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592
