brand,description,price,website,search_term,scrape_timestamp
Sporade,Bebida Rehidratante SPORADE Tropical Botella 1.5lt Paquete 6u,S/ 23.50 29%,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Gatorade,Bebida Rehidratante GATORADE Tropical Fruit Pack 12un Botella 500ml,S/ 30.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Sporade,Bebida Rehidratante SPORADE Uva Botella 500ml x 2u,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
SUEROX,Bebida Rehidratante SUEROX Sabor a Mandarina Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Gatorade,Bebida Rehidratante GATORADE Blue Pack 12un Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Gatorade,Bebida Rehidratante GATORADE Apple Ice Pack 12un Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
MONSTER,Bebida Energizante MONSTER Mango Loco Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
MONSTER,Bebida Energizante MONSTER Zero Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
MONSTER,Bebida Energizante MONSTER Ultra Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Volt,Bebida Energizante VOLT Gingseng Sin Azúcar Paquete 12u Botella 300ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
MONSTER,Bebida Energizante MONSTER Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Sporade,Bebida Rehidratante SPORADE Tropical Botella 500ml,S/ 2.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
SUEROX,Bebida Rehidratante SUEROX Sabor a Fresa y Kiwi Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
SUEROX,Bebida Rehidratante SUEROX Sabor a Mora Azul Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Purple Lata 473ml,S/ 10.90,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Powerade,Bebida Rehidratante POWERADE Frutas Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Gatorade,Bebida Rehidratante GATORADE Tropical Fruit Botella 500ml,S/ 2.50,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
Gatorade,Bebida Rehidratante GATORADE Blue Botella 500ml,S/ 2.50,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
MONSTER,Bebida Energizante MONSTER Zero Lata 473ml,S/ 8.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 16:56:31.277553
