brand,description,price,website,search_term,scrape_timestamp
Altomayo,Café Instantáneo ALTOMAYO Gourmet Frasco 170g,S/ 27.90 17%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Kirma,Café Instantáneo KIRMA Clásico Lata 190gr,S/ 22.50 9%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instántaneo NESCAFÉ Tradición Frasco 170g,S/ 25.90 5%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Kirma,Café KIRMA Doypack 150gr,S/ 18.50 5%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instantáneo NESCAFÉ Tradición Frasco 100gr,S/ 18.20 4%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Instantáneo ALTOMAYO Clàsico en Lata 190g,S/ 25.00 1%,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Instantáneo ALTOMAYO Gourmet Doypack 90g,S/ 15.00,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instantáneo NESCAFÉ Tradición Frasco 50gr,S/ 10.40,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Instantáneo ALTOMAYO Gourmet Bolsa 45gr,S/ 8.50,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instantáneo NESCAFÉ Tradición Bolsa 50gr,S/ 7.90,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Kirma,Café Instantáneo KIRMA Clásico Bolsa 45gr,S/ 6.00,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instantáneo NESCAFÉ Tradición Zipper Doypack 50g x 2u,S/ 15.80,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Nescafe,Café Instantáneo KIRMA Bolsa 8gr Tira 16u,S/ 14.90,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Tostado Molido ALTOMAYO Gourmet Bolsa 450gr,S/ 29.90,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Instantáneo ALTOMAYO Gourmet Sobre 15g,S/ 2.50,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Altomayo,Café Instantáneo ALTOMAYO Descafeinado Frasco 170g,S/ 38.90,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
Milo,Alimento Granulado MILO Activ-GO Tira 24u Sobre 17gr,S/ 26.90,vega,CAFÉ INSTANTÁNEO,2024-12-07 16:52:31.046372
