brand,description,price,website,search_term,scrape_timestamp
Dog Chow,Comida para Perros DOG CHOW Gran Comienzo Cachorros Medianos y Grandes Bolsa 15Kg,S/ 162.50 20%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para perros DOGCHOW Adultos Razas Medianas y Grandes Bolsa 8kg,S/ 88.50 11%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Adultos Razas Medianas y Grandes Bolsa 15Kg,S/ 149.50 0%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Beef High Protein Lata 368g x 3u,S/ 19.90 42%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Adultos Razas Medianas y Grandes Bolsa 8Kg x 3u,S/ 284.40,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo para Perros DOG CHOW Cachorros Pollo Doypack 100g x3u,S/ 9.90 28%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Adultos Sabor Cordero Doypack 100g x 2u,S/ 9.20,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo para Perros DOG CHOW Adultos Cordero Doypack 100g x3u,S/ 9.90 28%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo para Perros DOG CHOW High Protein Chicken Lata 368g x2u,S/ 15.90 31%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 2u,S/ 9.20,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 3u,S/ 9.90 28%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Pollo Doypack 100g x 2u,S/ 9.20,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Chicken High Protein Lata 368g x 3u,S/ 19.90 42%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento para Perros DOG CHOW Todas las Razas Sabor a Pollo Molido Lata 368gr,S/ 9.50,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Gran Comienzo Cachorros Medianos y Grandes Bolsa 8Kg,S/ 116.70,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo para Perros DOG CHOW High Protein Beef Lata 368g x2u,S/ 15.90 31%,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Comida para Perros DOG CHOW Cachorros con Carne Pouch 100 gr,S/ 3.90,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch 100g,S/ 3.90,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento para Perros DOG CHOW Carne Molida Lata 368g,S/ 9.50,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo DOG CHOW Pollo Cachorro Doypack 100g,S/ 3.90,vega,HOT DOG,2024-12-03 12:28:28.659027
Dog Chow,Alimento Húmedo DOG CHOW Cordero Perro Adulto Doypack 100g,S/ 3.90,vega,HOT DOG,2024-12-03 12:28:28.659027
Ricocan,Comida Para Perros RICOCAN Adultos Pequeños Cordero y Cereal Bolsa 22Kg,S/ 144.90 31%,vega,HOT DOG,2024-12-03 12:28:28.659027
Ricocan,Comida Para Perros RICOCAN Adultos Todas las Razas Multisabores Bolsa 15Kg,S/ 98.90 9%,vega,HOT DOG,2024-12-03 12:28:28.659027
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Paquete 10un,S/ 5.90 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Paquete 500g,S/ 19.90 5%,vega,HOT DOG,2024-12-03 12:28:28.659027
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Ahumada Paquete 10un,S/ 5.90 2%,vega,HOT DOG,2024-12-03 12:28:28.659027
NUTRICAN,Comida Para Perros NUTRICAN Adultos Bolsa 25Kg,S/ 113.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Bandido,Comida para Perro Adulto BANDIDO Sabor Carne Bolsa 18KG,S/ 75.70,vega,HOT DOG,2024-12-03 12:28:28.659027
NUTRICAN,Comida Para Perros NUTRICAN Cachorros Bolsa 25Kg,S/ 115.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 25kg,S/ 152.50,vega,HOT DOG,2024-12-03 12:28:28.659027
Super Can,Comida para Perros SUPERCAN Cachorros Carne y Leche Bolsa 25kg,S/ 152.50,vega,HOT DOG,2024-12-03 12:28:28.659027
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 15kg,S/ 94.50,vega,HOT DOG,2024-12-03 12:28:28.659027
Mimaskot,Comida Para Perros MIMASKOT Cachorro Plus Bolsa 15Kg,S/ 91.90,vega,HOT DOG,2024-12-03 12:28:28.659027
DENTITOY,Snacks para Perros DENTITOY Baby Barrita Paquete 6un,S/ 4.50,vega,HOT DOG,2024-12-03 12:28:28.659027
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Piernitas Paquete 3un,S/ 6.90,vega,HOT DOG,2024-12-03 12:28:28.659027
Cheetos,Piqueos CHEETOS Flamin Hot Bolsa 120 gr,S/ 4.20,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Spaghetti DON VITTORIO Pack 6u Bolsa 450g,S/ 19.20 30%,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Linguini Grosso DON VITTORIO Pack 6u Bolsa 450g,S/ 19.20 30%,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Spaghetti DON VITTORIO Bolsa 500g Paquete 20u,S/ 92.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Tornillo Bolsa 225ml,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Spaghetti Bolsa 950g,S/ 6.80,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Cabello de Ángel DON VITTORIO Bolsa 250g,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Canuto Chico Bolsa 235ml,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Linguini Grosso DON VITTORIO Bolsa 950g,S/ 7.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Salsa Roja DON VITTORIO Doypack 400g,S/ 6.80,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Salsa Roja DON VITTORIO Doypack 200g,S/ 4.20,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Canuto Rayado Bolsa 235ml,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Spaghetti DON VITTORIO Bolsa 450g,S/ 3.70,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Linguini Grosso DON VITTORIO Bolsa 450g Paquete 20u,S/ 92.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Linguini Grosso DON VITTORIO Bolsa 450g,S/ 3.70,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Spaghetti DON VITTORIO Bolsa 450g x10u,S/ 38.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos Linguini Grosso DON VITTORIO Bolsa 450g x10u,S/ 38.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Codo Rayado Bolsa 225g,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Don Vittorio,Fideos DON VITTORIO Rigatoni Bolsa 250g,S/ 2.00,vega,HOT DOG,2024-12-03 12:28:28.659027
Universal,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
Universal,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
Universal,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.50 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
Universal,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,HOT DOG,2024-12-03 12:28:28.659027
Grano De Oro,Fideos Tornillo GRANO DOE ORO Bolsa 250g,S/ 1.60,vega,HOT DOG,2024-12-03 12:28:28.659027
Vega,Fideos Tornillo VEGA Bolsa 250gr,S/ 1.50,vega,HOT DOG,2024-12-03 12:28:28.659027
