brand,description,price,website,search_term,scrape_timestamp
Vega,Lenteja Bebé VEGA Bolsa 400g,S/ 3.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Costeño,Arveja COSTEÑO Bolsa 500g,S/ 3.50,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Arveja VEGA Bolsa 400g,S/ 2.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Pop Corn VEGA Bolsa 400g,S/ 2.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Lenteja VEGA Bolsa 400g,S/ 3.80,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Costeño,Lenteja COSTEÑO Bolsa 500g,S/ 6.50,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Frijol Canario VEGA Bolsa 400g,S/ 5.10,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Lenteja Bebé TIMONEL Bolsa 400g,S/ 4.10,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
VALLENORTE,Lenteja VALLENORTE Bolsa 500gr,S/ 5.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Quinua VEGA Bolsa 400g,S/ 6.00,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Pop Corn TIMONEL Bolsa 400g,S/ 3.10,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Garbanzo VEGA Bolsa 400g,S/ 3.80,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Frijol Panamito VEGA Bolsa 400g,S/ 3.80,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
VALLENORTE,Arveja partida VALLENORTE Bolsa 500gr,S/ 3.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Lenteja TIMONEL Bolsa 400g,S/ 4.00,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Costeño,Maíz Pop Corn COSTEÑO Bolsa 500g,S/ 4.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Frijol Castilla TIMONEL Bolsa 400g,S/ 4.60,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Frijol Castilla VEGA Bolsa 400g,S/ 4.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Quinua TIMONEL Bolsa 400gr,S/ 6.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Costeño,Frijol Canario COSTEÑO Bolsa 500g,S/ 8.40,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Arveja TIMONEL Bolsa 400gr,S/ 3.20,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Papa seca VEGA Bolsa 400g,S/ 4.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Vega,Pallar VEGA Bolsa 400g,S/ 4.50,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
VALLENORTE,Maíz Pop Corn VALLENORTE Bolsa 500gr,S/ 5.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
VALLENORTE,Frejol Canario VALLENORTE Bolsa 500 gr,S/ 8.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
COSECHA ANDINA,Garbanzo COSECHA ANDINA Bolsa 500g,S/ 5.30,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Trigo mote TIMONEL Bolsa 400g,S/ 2.90,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Pallar TIMONEL Bolsa 400g,S/ 4.80,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Frijol Canario TIMONEL Bolsa 400gr,S/ 5.40,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Garbanzo TIMONEL Bolsa 400g,S/ 4.00,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
Timonel,Frijol Panamito TIMONEL Bolsa 400g,S/ 4.10,vega,MENESTRAS SANCOCHADAS,2024-12-03 13:58:59.202392
