brand,description,price,website,search_term,scrape_timestamp
Ricocat,"Comida para Gatos SUPER CAT Adulto Carne, Pollo y Leche Bolsa 9 kg",S/ 73.50 43%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Tabernero,Chilcano TABERNERO Bar Piña Menta Botella 275ml,S/ 5.90 16%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Paquete 10un,S/ 5.90 8%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,"Comida para Perros THOR Adulto Carne, Hígado, Cereal Bolsa 25kg",S/ 110.90 5%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,"Comida para Perros THOR Adulto Clásico Carne, Pollo, Cerdo Bolsa 25kg",S/ 110.90 5%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Paquete 500g,S/ 19.90 5%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Salchicha Ahumada Paquete 10un,S/ 5.90 2%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
San Luis,Agua sin Gas SAN LUIS Sabor a Piña y Kion Botella 625ml Paquete 6un,,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
ZEUS,Comida para Perro ZEUS Adulto Sabor a Carne Bolsa 25Kg,S/ 97.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Huggies,Pañales para Bebé HUGGIES Natural Care Bigpack Talla XXG Paquete 58un,S/ 58.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Bandido,Comida para Perro Adulto BANDIDO Sabor Carne Bolsa 18KG,S/ 75.70,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Huggies,Pañales para Bebé HUGGIES Natural Care Bigpack Talla XG Paquete 60un,S/ 58.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,Comida para Perros THOR Cachorros Carne Bolsa 25kg,S/ 120.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Cachorros Razas Pequeñas Carne y Leche Bolsa 15 Kg,S/ 112.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Mimaskot,Comida para Perros MIMASKOT Carnes Bolsa 22Kg,S/ 128.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 25kg,S/ 152.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocat,"Comida para Gatos RICOCAT Gatitos Carne, Pescado y Leche Bolsa 9 kg",S/ 87.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Super Can,Comida para Perros SUPERCAN Cachorros Carne y Leche Bolsa 25kg,S/ 152.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
UMSHA,Gelatina UMSHA Sabor Piña Bolsa 120g,S/ 3.20,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 3L,S/ 6.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Del Valle,Infusiones DEL VALLE Hierba Luisa Caja 25 un,S/ 1.70,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas y Grandes Sabor Carne y Leche Bolsa 22Kg,S/ 162.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Universal,Mazamorra UNIVERSAL Sabor a Piña Bolsa 150gr,S/ 2.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,"Comida para Perros RICOCAN Cachorros Carne y Leche, Bolsa 22kg",S/ 162.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Adultos Paté con Carne Lata 330g,S/ 6.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Mimaskot,Comida para Perros MIMASKOT Adultos Raza Medianas y Grandes Carne Cereales y Vegetales Bolsa 15Kg,S/ 91.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,Comida para Perros THOR Cachorros Paté con Carne Lata 11 oz,S/ 5.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Bolsa 80g x 24u,S/ 45.60,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Huggies,Pañales para Bebé HUGGIES Natural Care Bigpack Talla XXG Paquete 58un x 2u,S/ 117.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocat,Comida para Gatos RICOCAT Gatitos Trocitos de Carne 85g,S/ 3.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas Carne y Leche Bolsa 15 Kg,S/ 112.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Huerto Del Eden,Infusiones Hierba Luisa HUERTO Caja 100 un,S/ 7.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocat,"Comida para Gatos RICOCAT Gatitos Carne, Pescado y Leche Bolsa 1 kg",S/ 14.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 15kg,S/ 94.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 2u,S/ 9.20,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 3u,S/ 9.90 28%,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Uthil,Papel Aluminio UTHIL con Sierra 16 mts x 30cm,S/ 14.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Gloria,Bebida GLORIA Piña Caja 1L,S/ 4.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Vaso 51g,S/ 3.40,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Del Valle,Infusiones DEL VALLE Hierba Luisa Caja 100 un,S/ 6.40,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocat,"Comida para Gatitos RICOCAT Carne, Pescado y Leche Bolsa 15kg",S/ 197.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas Carne y Leche Bolsa 1Kg,S/ 12.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Huerto Del Eden,Infusiones Hierba Luisa HUERTO Caja 25 un,S/ 2.20,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Bahia,Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Uthil,Papel Aluminio UTHIL con Sierra 8 mts x 30cm,S/ 8.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Bolsa 80g,S/ 1.60,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
INKA CHIPS,Papas Fritas INKA CHIPS Finas Hierbas y Lima Bolsa 115g,S/ 7.80,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Rexona,Desodorante para mujer REXONA Care Nutritive Crema Sachet 10g,S/ 1.20,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 400ml,S/ 1.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Zuko,Refresco instantáneo ZUKO de Piña Display 12u Sobre 15gr,S/ 14.40,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
UMSHA,Mazamorra de Piña UMSHA Bolsa 125g,S/ 3.70,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,Comida para Perro THOR Cachorro Sabor Carne Bolsa 2 kg,S/ 15.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Cartavio,Piña Colada CARTAVIO HIT 355 ml,S/ 4.30,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Thor,"Comida para Perro THOR Adulto Sabor Carne, Pollo y Cerdo Bolsa 2 kg",S/ 14.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
San Luis,Agua Sin Gas SAN LUIS Sabor Piña y Kión Botella 625ml x 2u,,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Dog Chow,Comida para Perros DOG CHOW Cachorros con Carne Pouch 100 gr,S/ 3.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Dog Chow,Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch 100g,S/ 3.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Ricocan,Comida para Perros RICOCAN Adultos Trocitos Carne 100g,S/ 3.00,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DOGUI,Alimento para Perros DOGUI Para Adulto Sabor Pollo y Carne 8kg,S/ 62.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Dog Chow,Alimento para Perros DOG CHOW Carne Molida Lata 368g,S/ 9.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DENTITOY,Snacks para Perros DENTITOY Baby Barrita Paquete 6un,S/ 4.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
DENTITOY,Cuidado Oral para Perros DENTITOY Carnaza Piernitas Paquete 3un,S/ 6.90,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
Timonel,Gelatina TIMONEL Sabor a Piña Bolsa 150gr,S/ 3.50,vega,PIERNA (CARNE DE CERDO),2024-12-03 12:09:19.045928
