brand,description,price,website,search_term,scrape_timestamp
Vega,Quinua VEGA Bolsa 400g,S/ 6.00,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
3 Ositos,Quinua Avena 3 Ositos Bolsa 270g,S/ 3.60,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Timonel,Quinua TIMONEL Bolsa 400gr,S/ 6.30,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
3 Ositos,Quinua Avena 3 OSITOS Bolsa 150gr,S/ 2.20,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
3 Ositos,Avena con Quinua 3 OSITOS Premium 900g,S/ 10.69 14%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Pack 3 Leche Fresca GLORIA UHT Entera Bolsa 900ml,S/ 12.90 14%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Pack 3 Leches GLORIA UHT Entera Caja 1L,S/ 16.29 6%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Reconstituida GLORIA Entera Lata 390g x 6u,S/ 22.90 5%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Reconstituida GLORIA Entera Lata 390g Paquete 6u,S/ 22.90 3%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Reconstituida GLORIA Entera Lata 390g x 12u,S/ 48.00,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Fresca GLORIA UHT Entera Bolsa 900ml Caja 12u,S/ 56.40,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Reconstituida GLORIA Entera Pack 12u Lata 390g,S/ 45.50,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Laive,Leche LAIVE Entera UTH Bolsa 900ml,S/ 4.40,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Reconstituida GLORIA Entera Lata 390g,S/ 4.20,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Kariño,Canela Entera KARIÑO Sobre 3g,S/ 0.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche GLORIA Entera Reconstituida Caja 48u Lata 170g,,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche GLORIA UHT Entera Caja 1L,S/ 5.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Pack 6 Leches GLORIA UHT Entera Caja 1L,S/ 31.20,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Fresca GLORIA UHT Entera Pack 6 Bolsa 900ml,S/ 28.20,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Santa Catalina,Avena SANTA CATALINA con Quinua Bolsa 280gr,S/ 4.80,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche Fresca GLORIA UHT Entera Bolsa 900ml,S/ 4.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Nestle,Mezcla Láctea IDEAL Cremosita Pack 6 Latas 390gr,S/ 24.60,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 370gr,S/ 4.80,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Laive,Leche LAIVE UHT Entera Caja 946ml,S/ 5.70,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gloria,Leche GLORIA Entera Reconstituida Lata 170g,S/ 2.20,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Santa Catalina,Avena SANTA CATALINA con Quinua Bolsa 150gr,S/ 2.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Vega,Lenteja Bebé VEGA Bolsa 400g,S/ 3.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Vega,Lenteja VEGA Bolsa 400g,S/ 3.80,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Costeño,Lenteja COSTEÑO Bolsa 500g,S/ 6.50,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Timonel,Lenteja Bebé TIMONEL Bolsa 400g,S/ 4.10,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
VALLENORTE,Lenteja VALLENORTE Bolsa 500gr,S/ 5.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Timonel,Lenteja TIMONEL Bolsa 400g,S/ 4.00,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Colgate,Cepillo de Dientes COLGATE Extra Clean Firme Paquete 2un,S/ 8.50 15%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Gran Chalan,Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Faraon,Arroz Extra FARAON Bolsa 5Kg,S/ 26.20 4%,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Faraon,Arroz Extra FARAON Bolsa 750g,S/ 4.30,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Costeño,Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Veguita,Arroz Extra VEGA Pacasmayo Saco 10Kg,S/ 45.00,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Vega,Arroz Extra VEGA Bolsa 5Kg,S/ 23.50,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Vega,Arroz Extra VEGA Bolsa 750g,S/ 3.90,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
POPEYE,Jabón para Ropa POPEYE Extra Blancura Barra 190g,S/ 1.80,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Timonel,Aceite de Oliva TIMONEL Extra Virgen Botella 500ml,S/ 36.40,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Paisana,Arroz Extra PAISANA Bolsa 5Kg,S/ 25.60,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
Kariño,Clavo de Olor Entero KARIÑO Sobre 4g,S/ 0.70,vega,QUINUA ENTERA,2024-12-03 11:30:05.532324
