brand,description,price,website,search_term,scrape_timestamp
Vega,Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Timonel,Trigo mote TIMONEL Bolsa 400g,S/ 2.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 22.50 2%,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Lata 355ml,S/ 22.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Molitalia,Sémola de Trigo MOLITALIA Bolsa 200gr,S/ 1.70,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Costa,Galletas Integral COSTA con Salvado de Trigo Paquete 6u 37g,S/ 4.30,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Cusqueña,Pack 2 Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 47.80,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Victoria,Galleta INTEGRACKER con Salvado de Trigo Paquete 9un,S/ 6.80,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Tabernero,Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
4 Gallos,Pisco 4 GALLOS Acholado Botella 700ml,S/ 42.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Queirolo,Pisco SANTIAGO QUEIROLO QUEBRANTA Botella 750ml,S/ 29.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
CATEDRATICO,Pack Pisco CATEDRATICO Quebranta Botella 750ml + Ginger Ale EVERVESS Botella 1.5L,,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Queirolo,Macerado de Ciruela SANTIAGO QUEIROLO Botella 750ml,S/ 34.50,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Queirolo,Pisco SANTIAGO QUEIROLO Italia Botella 750ml,S/ 29.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Purple Lata 473ml,S/ 10.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Bahia,Mojito BAHIA Lata 355ml,S/ 6.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Queirolo,Pisco SANTIAGO QUEIROLO Acholado Botella 750ml,S/ 29.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
CATEDRATICO,Pack Pisco CATEDRATICO Acholado Botella 750ml + Ginger Ale EVERVESS Botella 1.5L,,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Vargas,Pisco VARGAS Puro Botella 750ml,S/ 27.50,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Blue Lata 473ml,S/ 10.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
INKA CHIPS,Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa 125gr,S/ 7.80,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Vargas,Pisco VARGAS Reserva Privada Quebranta Botella 750ml,S/ 27.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Bahia,Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Vargas,Pisco VARGAS Reserva Privada Italia Botella 750ml,S/ 27.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Vargas,Pisco VARGAS Reserva Privada Acholado Botella 750ml,S/ 27.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
CATEDRATICO,Pack Pisco CATEDRATICO Italia Botella 750ml + Ginger Ale EVERVESS Botella 1.5L,,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
4 Gallos,Pisco 4 GALLOS Quebranta Botella 700ml,S/ 42.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Cartavio,Ron CARTAVIO Blanco Botella 250 ml,S/ 9.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Cartavio,Ron CARTAVIO Superior Botella 250 ml,S/ 9.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Rotondo,Pisco FINCA ROTONDO Acholado en Lata Botella 750ml,S/ 39.90,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
Tabernero,Chilcano Bar TABERNERO Limón Botella 275 ml,S/ 5.90 16%,vega,TRIGO MORÓN,2024-12-03 11:29:25.779316
