description,brand,price,website,search_term,scrape_timestamp
Helado Tabletas de Crema Americana FREDDO Caja 6un,FREDDO,S/ 15.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado Crema di Firenze BELL'S SELECCIÓN Pote 500g,BELL'S SELECCIÓN,S/ 16.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de Leche UHT GLORIA Caja 200ml,GLORIA,S/ 8.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado Bombones D'ONOFRIO Pote 18 un,D'ONOFRIO,S/ 13.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote 900ml,D'ONOFRIO,S/ 11.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema ALACENA Tarí Base de Ají Doypack 400g,TARÍ,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de Leche NESTLÉ Lata 300g,NESTLE,S/ 10.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado SIVERIO MARIA Ciock Menta 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helados D'ONOFRIO Mini Sandiwch Caja 10un,D'ONOFRIO,S/ 20.30,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de Rocoto ALACENA Uchucuta Doypack 400g,ALACENA,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado D'ONOFRIO FRÍO RICO Multipack Vainilla Caja 4un,D'ONOFRIO,S/ 20.30,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado MY MOCHI Double Chocolate Caja 280g,MY MOCHIS,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Dental SENSODYNE Blanqueador Extra Fresh Tubo 2un x 90g,SENSODYNE,S/ 33.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Dental SENSODYNE Proteccion Completa Dientes Sensibles Caja 90g,SENSODYNE,S/ 20.10,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Volteada LA FLORENCIA 350g,LA FLORENCIA,S/ 7.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Huancaína ALACENA Doypack 85g,ALACENA,S/ 4.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado BELL'S Trisabor Pote 511g,BELL'S,S/ 7.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Instantánea MAGGI Espárragos Bolsa 66g,MAGGI,S/ 3.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado MY MOCHI Vanilla Bean Caja 280g,MY MOCHIS,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema Huancaína ALACENA Doypack 400g,ALACENA,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado SIVIERO MARIA de Pistacchio Pote 500g,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de Avellanas NUTELLA Frasco 650g,NUTELLA,S/ 68.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de Leche Pasteurizada VIGOR Bolsa 946g,VIGOR,S/ 23.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado SIVIERO MARIA Cioccolatissimo 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Crema de leche LAIVE Repostería Bolsa 946ml,LAIVE,S/ 26.10,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado SIVIERO MARIA Affogato al Cioccolato Pote 500g,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado HÄAGEN DAZS Chocolate Belga Pote 100ml,HÄAGEN DAZS,S/ 12.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
Helado SIVIERO MARIA Caramello Salato Pote 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518
