description,brand,price,website,search_term,scrape_timestamp
Fresa Premium BELL'S Bandeja 500g,BELL'S,S/ 10.59,vivanda,FRESA,2024-12-05 22:04:24.699469
Fresa Entera Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,S/ 15.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Fresa Entera Congelada BELL'S Bolsa 1kg,BELL'S,S/ 10.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Fresa Congelada FEST Paquete 500g,FEST,S/ 7.99,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt VAKIMU +Pro Sabor a Fresa Pote 160g,VAKIMU,S/ 6.00,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt GLORIA Frutado Fresa Vaso 120g,GLORIA,S/ 1.80,vivanda,FRESA,2024-12-05 22:04:24.699469
Gelatina UNIVERSAL Sabor a Fresa Caja 19g,UNIVERSAL,S/ 3.70,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada DELGA-C Fresa sin azúcar Frasco 310Gr,DELGA-C,S/ 9.80,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada Fresa GLORIA Pote 310g,GLORIA,S/ 7.30,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt LAIVE Sbelt Sabor a Fresa Galonera 1.7Kg,LAIVE,S/ 12.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Parcialmente Descremado GLORIA Sabor a Fresa Galonera 1.7Kg,GLORIA,S/ 10.60,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Griego Bebible TIGO Fresa Galonera 1.6K,TIGO,S/ 17.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Sabor a Fresa sin Lactosa LAIVE Galonera 1.7Kg,LAIVE,S/ 8.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Gelatina UNIVERSAL Fresa con Stevia Bolsa 19g,UNIVERSAL,S/ 5.20,vivanda,FRESA,2024-12-05 22:04:24.699469
"Mix Arándano, Fresa y Frambuesa Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,S/ 20.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Galletas Nutrisnack GERBER Plátano y Fresa Sobre 42g,GERBER,S/ 19.50,vivanda,FRESA,2024-12-05 22:04:24.699469
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",EL FRUTERO,S/ 15.49,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt VAKIMU +Pro Sabor a Fresa Pote 500g,VAKIMU,S/ 15.20,vivanda,FRESA,2024-12-05 22:04:24.699469
Wafer Cuadrado NIK Relleno con Crema Sabor a Fresa Paquete 6un,COSTA,S/ 4.10,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Frutado DANLAC Fresa Botella 900g,DANLAC,S/ 11.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada GLORIA Fresa Frasco 950g,GLORIA,S/ 14.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada BELL'S Fresa Frasco 1Kg,BELL'S,S/ 13.90,vivanda,FRESA,2024-12-05 22:04:24.699469
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt LAIVE Sbelt Sabor a Fresa y Linaza Galonera 1.7Kg,LAIVE,S/ 11.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Bebible GLORIA Sabor a Fresa Botella 180g,GLORIA,S/ 2.10,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Bebible GLORIA sin Lactosa Fresa Botella 1Kg,GLORIA,S/ 7.30,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt GLORIA Parcialmente Descremado Sabor a Fresa y Plátano Botella 180g,GLORIA,S/ 2.10,vivanda,FRESA,2024-12-05 22:04:24.699469
Bebida FRUGOS Mango y Fresa Caja 1L,FRUGOS,S/ 4.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Griego Mango con Fresa VAKIMU YOG Pote 1Kg,VAKIMU,S/ 16.80,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada HELIOS Fresa Dulce Diet Frasco 280g,HELIOS,S/ 22.20,vivanda,FRESA,2024-12-05 22:04:24.699469
"Mix Fresa, Piña y Mango Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,S/ 16.99,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada de Fresa FANNY Frasco 950g,FANNY,S/ 16.10,vivanda,FRESA,2024-12-05 22:04:24.699469
Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella 630ml,SUEROX,S/ 6.50,vivanda,FRESA,2024-12-05 22:04:24.699469
Yogurt Bebible GLORIA Sabor a Fresa Botella 1Kg,GLORIA,S/ 6.70,vivanda,FRESA,2024-12-05 22:04:24.699469
Mermelada de Fresa Pote 200g,LA FLORENCIA,S/ 4.60,vivanda,FRESA,2024-12-05 22:04:24.699469
Agua Saborizada SAN PELLEGRINO Essenza Sabor a Mandarina y Fresa Lata 330ml,SAN PELLEGRINO,S/ 8.00,vivanda,FRESA,2024-12-05 22:04:24.699469
Quitaesmalte BOREAL Fresa Botella 70ml,BOREAL,S/ 3.90,vivanda,FRESA,2024-12-05 22:04:24.699469
