description,brand,price,website,search_term,scrape_timestamp
Galletas Saladas RITZ Bolsa 20g Paquete 6un,NABISCO RITZ,S/ 4.00,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Galletas Saladas DORÉ Paquete 6un,DORE,S/ 4.90,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Galletas Saladas RITZ Sabor a Queso Bolsa 30g Paquete 6un,NABISCO RITZ,S/ 4.79,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Galleta Salada TABLA GOURMET Caja 100g,TABLA GOURMET,S/ 10.30,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Galletas Saladas DORÉ Paquete 230g,DORE,S/ 6.00,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Galletas Saladas con Quinua y Finas Hierbas +NUTRI Co Caja 6un,NUTRISHAKE,S/ 15.30,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Pack Bebida FRUGOS Mango Caja 235ml Paquete 6un + Galletas Saladas RITZ Bolsa 20g Paquete 6un,FRUGOS,S/ 11.90,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Pack Néctar FRUGOS DEL VALLE Sabor a Naranja 235ml Six Pack + Galletas Saladas RITZ Bolsa 20g Paquete 6un,FRUGOS,S/ 11.90,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Pack Néctar FRUGOS Manzana Caja 235ml Paquete 6un + Galletas Saladas RITZ Bolsa 20g Paquete 6un,FRUGOS,S/ 11.90,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
Pack Néctar FRUGOS DEL VALLE Sabor a Durazno 235ml Six Pack + Galletas Saladas RITZ Bolsa 20g Paquete 6un,FRUGOS,S/ 11.90,vivanda,GALLETAS SALADAS,2024-12-05 21:35:23.014531
