description,brand,price,website,search_term,scrape_timestamp
Sandía Amarilla x kg,VIVANDA,S/ 3.49,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Crema de Tratamiento FRUCTIS Hair Food de Sandía 300ml,FRUCTIS,S/ 26.50,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Goma de Mascar TRIDENT Sabor a Sandía Caja 12un,TRIDENT,S/ 32.90,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Acondicionador FRUCTIS Hair Food de Sandía Frasco 300ml,FRUCTIS,S/ 25.50,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Licuadora OSTER 1.5L BLSTKAGMPB053 Sandía,OSTER,S/ 249.00,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Hervidor Eléctrico OSTER 1.7L BVSTKT4177M-053 Sandía,OSTER,S/ 99.00,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Chicle TRIDENT Sin Azúcar sabor Sandía Envase 18un,TRIDENT,S/ 3.70,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Limpiador Facial 2 en 1 Hidrantante POND'S Extracto de Sandía Frasco 200ml,POND'S,S/ 29.90,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Gel Hidratante POND'S Sandía Pote 110g,POND'S,S/ 29.90,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Mascarilla POND'S Fruity Fresh Sandía Sobre 26g,POND'S,S/ 12.90,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Shampoo FRUCTIS Hair Food de Sandía Frasco 300ml,FRUCTIS,S/ 25.50,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Sandia,VIVANDA,S/ 1.29,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Sandwichera OSTER CKSTSM2885M Sandia,OSTER,S/ 119.00,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Goma de Mascar HUBBA BUBBA Max Fresa Sandia Bolsa 40g,HUBBA BUBBA,S/ 5.50,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Sandia Picada BELL'S FRESCOS Bandeja 300g,BELL'S FRESCOS,S/ 5.69,vivanda,SANDÍA,2024-12-05 22:06:47.407601
Bebida FRU + Mango Sandia Botella 400ml,FRU +,S/ 5.70,vivanda,SANDÍA,2024-12-05 22:06:47.407601
