description,brand,price,website,search_term,scrape_timestamp
Ají panca PIKI Molido Doypack 120Gr,PIKI,S/ 2.90,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Panca BELL'S Molido Sobre 15g,BELL'S,S/ 1.60,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Panca en Pasta TRESA Frasco 205g,TRESA,S/ 6.89,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Amarillo en Pasta TRESA Frasco 205g,TRESA,S/ 5.49,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Marisol Seco BELL'S FRESCOS Bandeja 100g,BELL'S FRESCOS,S/ 7.99,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají amarillo PIKI Molido Doypack 120g,PIKI,S/ 2.90,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Pollero CASA VERDE Doypack 75g,CASA VERDE,S/ 4.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Panca Seco BELL'S FRESCOS Bandeja 100g,BELL'S FRESCOS,S/ 8.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají de Pollo,VIVANDA,S/ 9.90,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Criollo BELL'S Doypack 200ml,BELL'S,S/ 7.30,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Amarillo BELL'S Molido Sobre 10g,BELL'S,S/ 1.60,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají de Gallina PERÚ PRIDE Bolsa 100g,PERU PRIDE,S/ 6.39,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají WALIBI Criollo Doypack 200Gr,WALIBI,S/ 7.60,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají de Gallina PROVENZAL Sachet 100g,PROVENZAL,S/ 9.30,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Criollo LIBBY´S Doypack 380g,LIBBY S,S/ 14.40,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Criollo LIBBY'S Doypack 85g,LIBBY S,S/ 3.60,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Criollo BELL'S Doypack 400g,BELL'S,S/ 7.20,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ají Criollo TERRAZA GRILL Doypack 200g,TERRAZA GRILL,S/ 10.20,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ajo PIKI Molido Doypack 350Gr,PIKI,S/ 12.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ajo Molido PIKI Doypack 120g,PIKI,S/ 2.90,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ajo KARIÑO Molido Frasco 40Gr,KARINO,S/ 8.30,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Ajo Molido BELL’S Frasco 215g,BELL'S,S/ 9.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Tapenade Ají Limo OLIVOS DEL SUR Frasco 260g,OLIVOS DEL SUR,S/ 14.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Salsa PIKI Ají panca molido Doypack 350g,PIKI,S/ 12.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
Lunch Ají de Pollo LA FLORENCIA 450g,LA FLORENCIA,S/ 12.90,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-06 12:13:06.989654
