description,brand,price,website,search_term,scrape_timestamp
Alimento para Gatos PURINA ONE Adultos Salmón Doypack 85g,PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
"Alimento para Gatos PURINA ONE Adultos Salmón, Atún y Pescado Blanco Doypack 85g",PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional PEDIASURE Vainilla clásica Lata 900g,PEDIASURE,S/ 107.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Perro Razas Pequeñas PEDIGREE Pouch de Pollo Paquete 18un 100gr,PEDIGREE,S/ 4.20,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Gatos CAT CHOW Adulto Hogareños en Bolsa 1kg,DOG CHOW,S/ 49.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Húmedo para Perros DOG CHOW Cachorros Todos Los Tamaños con Pollo 100gr,DOG CHOW,S/ 9.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Instántaneo en Polvo COLA CAO Original Pote 400g,COLA CAO,S/ 17.80,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Instántaneo en Polvo COLA CAO Pote 350g,COLA CAO,S/ 18.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
"Alimento para Perros PURINA ONE Adultos Carne, Pollo y Cordero Doypack 85g",PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo ENFAGROW Premium Promental Sabor a Vainilla Caja 2.2Kg,ENFAGROW,S/ 221.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo ENFAGROW Premium Promental Sabor Natural Caja 2.2Kg,ENFAGROW,S/ 221.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Perros PURINA ONE Adultos Pollo Doypack 85g,PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional PEDIASURE Chocolate Lata 1.6Kg,PEDIASURE,S/ 169.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Húmedo para Perro DOG CHOW High Protein Pollo 368gr,DOG CHOW,S/ 9.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Gatos CAT CHOW Adulto Hogareños en Bolsa de 1kg,DOG CHOW,S/ 120.60,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Húmero para Gatos FANCY FEAST Casserole Sabor Atún y Salmón en Lata de 85gr,ONE,S/ 187.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Húmedo para Perros DOG CHOW Adultos Minis y Pequeños con Carne 100gr,DOG CHOW,S/ 4.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Perros WOOF CITY Mollejas de Pollo Bolsa 75g,WOOF CITY,S/ 16.99,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional PEDIASURE Chocolate Lata 900g,PEDIASURE,S/ 107.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Azucarado BONLÉ Lata 397g,BONLÉ,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Biodefensa Sabor a Vainilla Francesa Botella 100ml Paquete 4un,LAIVE,S/ 6.30,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Bio Defensa Light Vainilla Francesa Paquete 4un Botella 100ml,LAIVE,S/ 6.30,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Bio Defensa Niños Tutti Frutti Paquete 4un Botella 100ml,LAIVE,S/ 6.40,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Gatitos WHISKAS Pouch Pollo Bolsa 85g,WHISKAS,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Gato Adulto WHISKAS Pouch de Carne Paquete 85gr,WHISKAS,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento en Polvo ENFAGROW Promental Preescolar Sabor a Vainilla Caja 1.1Kg,ENFAGROW,S/ 119.60,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Biodefensa Sabor a Fresa Botella 100ml Paquete 4un,LAIVE,S/ 6.30,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Azucarado NESTLÉ Toppings Lata 397g,NESTLÉ,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional SUSTAGEN Pro Sabor a Vainilla Lata 900g,SUSTAGEN,S/ 96.30,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso 100g,LAIVE,S/ 2.80,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo Probiótico GLORIA Yoguito Sabor a Vainilla Paquete 6un,GLORIA,S/ 5.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo Probiótico GLORIA Yoguito Sabor a Fresa Paquete 6un,GLORIA,S/ 4.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo LAIVE Yopi Sabor a Fresa Botella 180g,LAIVE,S/ 1.99,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional PEDIASURE Sabor a Vainilla Botella 220ml,PEDIASURE,S/ 9.70,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Lácteo ENFAGROW Premium Promental Confort Lata 800g,ENFAGROW,S/ 99.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Gatos PURINA ONE Adultos Carne Doypack 85g,PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento para Perros PURINA ONE Adultos Salmón Doypack 85g,PURINA ONE,S/ 6.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Alimento Nutricional PEDIASURE Vainilla Lata 1.6Kg,PEDIASURE,S/ 169.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Desinfectante de alimentos DIOXIL Plus Botella 200Ml,DIOXILL,S/ 18.00,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Contenedor de Alimentos VIVA HOME 1.1L,VIVA HOME,S/ 18.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Contenedor de Alimentos VIVA HOME 1.6L,VIVA HOME,S/ 15.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Deshidratador de Alimentos BLACKLINE HB-327B,BLACKLINE,S/ 199.00,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Contenedor de Alimentos VIVA HOME 2.2L,VIVA HOME,S/ 24.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Caldo MAGGI Cubito Sabor Gallina 100g Paquete 25un,MAGGI,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Caldo en cubitos MAGGI Sabor carne Caja 75.2Gr,MAGGI,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Caldo MAGGI Cubito Sabor Carne 100g Paquete 25un,MAGGI,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
BALANZÉ Curitas Caja 100un,BALANZÉ,S/ 5.00,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Cubos de Hielo ARTISAN 50mm Caja 6un,ARTISAN,S/ 24.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Caja Curitas Transpiel Surtidas 20un,CURITAS,S/ 8.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
Curitas Diseño Mariposa BALANZÉ Caja 20un,BALANZÉ,S/ 6.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-06 12:11:53.986729
