description,brand,price,website,search_term,scrape_timestamp
Bebida Rehidratante POWERADE Frutas Botella 1.5L,POWERADE,S/ 5.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida FRUTARIS con Sabor a Frutas Cítricas Botella 3L,FRUTARIS,S/ 5.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida FRUTARIS sabor Frutas Cítricas Botella 500ml,FRUTARIS,S/ 1.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Coco LAIVE Vio sin Endulzante Tetrapack 946ml,LAIVE,S/ 9.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra NATURE'S HEART sin Azúcar 946ml Paquete 6un,NATURE'S HEART,S/ 47.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Avena NATURES HEART Caja 946ml Paquete 2un,NATURE'S HEART,S/ 18.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendras NATURE'S HEART Almendra y Coco Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante GATORADE Tropical Fruit Botella 500ml Paquete 6un,GATORADE,S/ 12.70,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Coco NATURE'S HEART Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra NATURE'S HEART Sin Azúcar Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra LAIVE Vio sin Endulzante Tetrapack 946ml,LAIVE,S/ 9.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra sin Azúcar NATURES HEART Caja 946ml Paquete 2un,NATURE'S HEART,S/ 18.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Coco y Vainilla NATURE'S HEART sin Azúcar Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,SPORADE,S/ 5.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida FRUGOS Mango y Fresa Caja 1L,FRUGOS,S/ 4.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante SUEROX Surtido Botella 630ml Paquete 4un,SUEROX,S/ 19.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida FRUGOS Sabor a Mango Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Coco NATURES HEART sin Azúcar Botella 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Avena ORASI Caja 1L,ORASI,S/ 14.60,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra LAIVE Vio Caja 946ml Paquete 2un,LAIVE,S/ 18.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Arándanos L'ONDA con Té Verde Botella 1L,L ONDA,S/ 8.99,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante SPORADE Sabores Surtidos Botella 500ml Paquete 6un,SPORADE,S/ 9.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Aloe KERO Piña Botella 300ml,KERO,S/ 3.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Vegetal NOT MILK Low Fat Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante GATORADE Sabores Surtidos Botella 500ml Paquete 6un,GATORADE,S/ 12.70,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Soya LAIVE Vio Tetrapack 946ml,LAIVE,S/ 7.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Light OCEAN SPRAY Cranberry Caja 1L,OCEAN SPRAY,S/ 17.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Coco LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Vegetal NOT MILK Chocolate Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Instantánea de Cebada ECCO Doypack 250g,ECCO,S/ 13.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendras ORASI UHT sin Azúcar Caja 1L,ORASI,S/ 15.60,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra SILK Vainilla Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida BIO AMAYU Shots Defense Botella 60ml Paquete 4un,BIO AMAYU,S/ 13.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Soya SOY VIDA Lata 390g Paquete 6un,SOY VIDA,S/ 15.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida BIO AMAYU Shots Surtido Botella 60ml Paquete 4un,BIO AMAYU,S/ 13.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella 630ml,SUEROX,S/ 6.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
