description,brand,price,website,search_term,scrape_timestamp
Bisteck EL BUEN CORTE x kg,EL BUEN CORTE,S/ 41.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bisteck De Cadera EL BUEN CORTE x kg,EL BUEN CORTE,S/ 55.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bites Frambuesa Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bites Fresa Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bites Arándanos Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Shampoo BIOTEC Spiderman 3 en 1 Frasco 350ml,BIOTEC,S/ 19.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Blister Grande GELATTI Esmalte Brillante Ariel 225692,GELATTI,S/ 34.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Blister Mix Mediano GELATTI Esmalte Brillante 225617,GELATTI,S/ 24.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Jabón Líquido 3D Spider-Man Frasco 400ml,BIOTEC,S/ 29.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bites Cereza Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Pechuga Especial de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 18.40,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Filete Pechuga Corte Mariposa Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 24.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Muslo de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 17.30,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Molleja de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 14.60,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Sasami de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 26.10,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Ala de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 15.60,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Pechuga Entera de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 16.70,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Corazón de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 13.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Hígado de pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 9.30,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bife De Vacio FRIGON x kg,FRIGON,S/ 40.80,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Licor CAMPARI Bitter Botella 750ml,CAMPARI,S/ 93.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Filete Pierna Pollo con Piel Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 21.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Cobertura de Chocolate Bitter NESTLÉ Tableta 500 g,NESTLE,S/ 17.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Chicken Bites OREGON FOODS Bolsa 300g,OREGON FOODS,S/ 13.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bife de Vacío de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 51.30,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Chocolate Bitter MONTBLANC Tableta 190g,MONTBLANC,S/ 26.20,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Cereal WASI Protein Bites Maca y Yacón Caja 240g,WASI,S/ 18.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Licor de Crema LA BARRA Bitter Aromatic Amargo Botella 75ml,LA BARRA,S/ 17.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Hilo Dental ORAL-B Expert Interdental Micro Blister 10un,ORAL-B,S/ 29.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Hilo Dental ORAL-B Expert Floss Picks Blister 45un,ORAL-B,S/ 19.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Barra de Chocolate Bitter 60% HELENA Caja 150g,HELENA,S/ 18.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Chocolate Bitter INNATO Cranberries y Sal Bolsa 100g,INNATO,S/ 14.20,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Chocolate INNATO Bitter Paquete 100g,INNATO,S/ 10.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Cepillo Dental Eléctrico Para Niños ORAL-B Princesas Disney Blister 1un,ORAL-B,S/ 83.90,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Pilas DURACELL AA Blister 4un,DURACELL,S/ 16.00,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Cortadores NILO Jardín Blíster 8un,NILO,S/ 6.60,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Cobertura Bitter NEGUSA Caja 600g,NEGUSA,S/ 18.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Chocolate ORQUIDEA Bitter Envoltura 90g,ORQUIDEA,S/ 17.50,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
Bolígrafo PILOT BLFR7 Azul + Recarga Blíster 1un,PILOT,S/ 14.40,vivanda,BISTEC DE VACUNO,2024-12-06 11:22:19.040885
