description,brand,price,website,search_term,scrape_timestamp
Pop Corn Chicken AVINKA Bolsa 350g,AVINKA,S/ 13.70,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Maíz Pop Corn PLANET POP Mantequilla Paquete 3un,PLANET POP,S/ 10.70,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Pop Corn PLANET POP Mantequilla Bolsa 85g,PLANET POP,S/ 3.80,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Chupetín GLOBO POP Maracuyá Bolsa 432g,GLOBO POP,S/ 7.80,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Cereal CORN FLAKES Nestlé Sin Gluten Caja 405g,CORN FLAKES,S/ 16.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Cereal CORN FLAKES Nestlé Sin Gluten Caja 180g,CORN FLAKES,S/ 12.00,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Canchita para Microondas PLANET POP sabor Natural Bolsa 85g Paquete 3un,PLANET POP,S/ 10.70,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete 3un,PLANET POP,S/ 10.70,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Caramelo PUSH POP Surtido Barra 15g,TOPS,S/ 4.80,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Maíz Pop Corn BELL'S Bolsa 500g,BELL'S,S/ 4.40,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Maíz Pop Corn COSTEÑO Bolsa 500g,COSTENO,S/ 4.60,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Maíz Pop Corn BELL'S Dulce Bolsa 70g,BELL'S,S/ 2.10,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Maíz Pop Corn TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Sazonador Pops COSTEÑO de Pop Corn Sabor Mantequilla Frasco 81g,COSTEÑO,S/ 11.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Sazonador de Pop Corn COSTEÑO Sabor a Queso Frasco 64g,COSTEÑO,S/ 11.20,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Sazonador Pop Corn BELL'S Sabor a Caramelo Frasco 65g,BELL'S,S/ 10.30,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
