description,brand,price,website,search_term,scrape_timestamp
Queso Edam LAIVE Sin Lactosa Paquete 180g,LAIVE,S/ 11.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Gouda BRAEDT Paquete 180g,BRAEDT,S/ 11.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco BONLÉ x kg,BONLÉ,S/ 14.16,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco GLORIA Paquete 250g,GLORIA,S/ 11.49,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam BRAEDT Paquete 180g,BRAEDT,S/ 11.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco sin Lactosa LAIVE,LAIVE,S/ 11.88,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Cottage PLUSA Paquete 225g,PLUSA,S/ 11.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella en Bola BONLÉ Paquete 250g,BONLÉ,S/ 12.20,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam BRAEDT Paquete 440g,BRAEDT,S/ 24.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Crema PHILADELPHIA Brick Original Paquete 180g,PHILADELPHIA,S/ 13.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco Pasteurizado Light BELL'S Paquete 300g,BELL'S FRESCOS,S/ 10.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella Light LAIVE Sbelt Paquete 250g,LAIVE,S/ 13.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco SBELT,LAIVE,S/ 10.77,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano Rallado LAIVE Paquete 35g,LAIVE,S/ 4.60,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso sin Lactosa TRES OSCOS Paquete 200g,TRES OSCOS,S/ 16.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano LAIVE,LAIVE,S/ 28.00,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella Paquete 250g,BELL'S FRESCOS,S/ 12.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco BELL'S Paquete 300g,BELL'S FRESCOS,S/ 9.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam BONLÉ Paquete 250g,BONLÉ,S/ 14.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella en Bola DUMAN Paquete 240g,DUMAN,S/ 17.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Crema PIAMONTE Cabaña Light Pote 250g,PIAMONTE,S/ 11.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam PRESIDENT Paquete 150g,PRÉSIDENT,S/ 10.30,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam LAIVE Paquete 440g,LAIVE,S/ 24.40,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella DUMAN Fior Di Latte Paquete 250g,DUMAN,S/ 21.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano Rallado KRAFT Frasco 85g,KRAFT,S/ 13.70,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella LAIVE Paquete 250g,LAIVE,S/ 12.40,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco FLORALP Paquete 500g,FLORALP,S/ 21.20,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Crema PHILADELPHIA Soft Light Pote 150g,PHILADELPHIA,S/ 13.10,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano Rallado BONLÉ Paquete 35g,BONLÉ,S/ 4.70,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano PIAMONTE Paquete 200g,PIAMONTE,S/ 13.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam BELLS Paquete 440g,BELL'S FRESCOS,S/ 19.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Tipo Americano KRAFT Paquete 226g,KRAFT,S/ 12.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Edam Light LAIVE Molde 1Kg,LAIVE,S/ 14.28,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Rulo de Cabra MARQUÉS DEL CASTILLO con Miel Paquete 110g,MARQUÉS DEL CASTILLO,S/ 11.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Ricotta FLORALP,FLORALP,S/ 7.35,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Gruyère EL ARTESANO,EL ARTESANO,S/ 24.47,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano BONLÉ,BONLÉ,S/ 21.48,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Parmesano Rallado KRAFT Frasco 226g,KRAFT,S/ 35.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Oxoandino FLORALP Paquete 450g,FLORALP,S/ 28.40,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco LAIVE,LAIVE,S/ 10.65,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella Rallada DELICE Paquete 200g,DELICE,S/ 14.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella BRAEDT Paquete 180g,BRAEDT,S/ 11.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Mozzarella KRAFT Slim Cut Paquete 198g,KRAFT,S/ 12.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Cheddar KRAFT Madurado en láminas Paquete 227g,KRAFT,S/ 15.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Crema PRESIDENT Paquete 190g,PRESIDENT,S/ 10.90,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Crema PHILADELPHIA Soft Original Pote 150g,PHILADELPHIA,S/ 13.10,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Maasdam PRESIDENT Paquete 150g,PRÉSIDENT,S/ 12.20,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Fresco Artesanal LAIVE,LAIVE,S/ 12.12,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Manchego de Cabra DUMAN,DUMAN,S/ 35.50,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
Queso Ahumado Natural JANDAMMER x Kg,JANDAMMER,S/ 27.30,vivanda,QUESO MANTECOSO,2024-12-06 11:38:58.059528
