description,brand,price,website,search_term,scrape_timestamp
Uva Verde sin Pepa x Kg,VIVANDA,S/ 14.99,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Uva Red Globe,VIVANDA,S/ 13.49,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Vino PATA NEGRA Reserva Tempranillo Botella 750ml,PATA NEGRA,S/ 61.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bolsa para Basura VIRUTEX Negra 35L Planas,VIRUTEX,S/ 7.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bolsa para Basura VIRUTEX Negra 50L Planas,VIRUTEX,S/ 10.00,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra Deshuesada OLIVALLE Balde 350g,OLIVALLE,S/ 18.20,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bolsa para Basura VIRUTEX Negra 75L Planas,VIRUTEX,S/ 14.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra con Pepa BELL'S Táper 280g,BELL'S FRESCOS,S/ 11.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra sin Pepa EL OLIVAR Bolsa 240g,EL OLIVAR,S/ 9.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta BADIA Negra molida Frasco 56.7Gr,BADIA,S/ 9.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra Entera OLIVALLE Balde 400g,OLIVALLE,S/ 16.00,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta Negra Molida BELL'S Sobre 15g,BELL'S,S/ 2.60,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta KARIÑO Negra molida Frasco 40Gr,KARINO,S/ 6.99,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bolsa para Basura VIRUTEX Negra 140L Planas,VIRUTEX,S/ 16.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bolsa para Basura VIRUTEX Negra 220L Planas,VIRUTEX,S/ 11.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra sin Pepa BELL'S Táper 260g,BELL'S FRESCOS,S/ 11.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Cerveza CUSQUEÑA Negra Botella 310ml Paquete 6un,CUSQUEÑA,S/ 23.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta Negra Molida 4 ESTACIONES Frasco 35g,4ESTACIONES,S/ 4.99,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceitunas Negras EL OLIVAR con Pepa Bolsa 240g,EL OLIVAR,S/ 8.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra HUERTO MEJÍA Paquete 250g,HUERTO MEJÍA,S/ 12.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Torta Selva Negra Mediana LA FLORENCIA 1un,LA FLORENCIA,S/ 60.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Chía Negra en Granos Orgánico ECOANDINO Doypack 250g,ECOANDINO,S/ 15.60,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta Negra BADIA en Polvo Frasco 198.4g,BADIA,S/ 30.30,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta BELL'S Negra Entera Sobre 15g,BELL'S,S/ 2.60,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Cera líquida autobrillante TEKNO Negra Doypack 330Ml,TEKNO,S/ 9.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Acondicionador SUMAQ Quinua Negra Frasco 500ml,SUMAQ,S/ 39.70,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Cerveza Negra CUSQUEÑA Lata 355ml Paquete 6un,CUSQUEÑA,S/ 28.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Aceituna Negra Deshuesada OLIVALLE Balde 700g,OLIVALLE,S/ 30.50,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta KARIÑO Negra molida Sobre 18Gr,KARINO,S/ 5.10,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Shampoo SUMAQ Quinua Negra Frasco 500ml,SUMAQ,S/ 39.70,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,S/ 5.00,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Polvo Instantáneo de Tarwi TAURI con Maca Negra Doypack 250g,TAURI,S/ 21.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta Negra MARAS GOURMET Bolsa 30g,MARAS GOURMET,S/ 5.40,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
Pimienta Negra Molida MARAS GOURMET Frasco 60g,MARAS GOURMET,S/ 14.90,vivanda,UVA NEGRA,2024-12-06 11:47:28.159402
