description,brand,price,website,search_term,scrape_timestamp
Vainita Americana,VIVANDA,S/ 6.99,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Maíz Pop Corn TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.20,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Tapenade de Pura Alcachofa CASA VERDE Frasco 190g,CASA VERDE,S/ 8.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Salsa Roja CASA VERDE Doypack 160g,CASA VERDE,S/ 4.20,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Ají Pollero CASA VERDE Doypack 75g,CASA VERDE,S/ 4.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Salsa Dijon Vinaigrette HUELLA VERDE Pote 350ml,HUELLA VERDE,S/ 16.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Dip con Palta CASA VERDE Frasco 225g,CASA VERDE,S/ 9.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Salsa Huancaina CASA VERDE Doypack 75g,CASA VERDE,S/ 5.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Crema De Rocoto CASA VERDE Doypack 75g,CASA VERDE,S/ 4.60,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Lentejita Bebé TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Dip Ají Amarillo CASA VERDE Frasco 190g,CASA VERDE,S/ 9.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Granola HUELLA VERDE Original Doypack 400g,HUELLA VERDE,S/ 25.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Granola HUELLA VERDE Lúcuma Doypack 400g,HUELLA VERDE,S/ 25.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Bowl de Quinua con Salsa de Alcachofa y Pimiento CASA VERDE 225g,CASA VERDE,S/ 7.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Frijol Panamito TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.80,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Dip de Alcachofa a la Parmesana CASA VERDE Frasco 200g,CASA VERDE,S/ 10.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Salsa Honey Mustard HUELLA VERDE Pote 350ml,HUELLA VERDE,S/ 16.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
Espárragos Verdes BELL'S FRESCOS Bandeja 300g,BELL'S FRESCOS,S/ 8.00,vivanda,VAINITA VERDE (AMERICANA),2024-12-06 11:56:57.075185
