description,brand,price,website,search_term,scrape_timestamp
Avena QUAKER Tradicional Bolsa 900g,QUAKER,S/ 14.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena con Hojuela sin Gluten LA PURITA Bolsa 800g,LA PURITA,S/ 18.00,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Precocida BELL'S Bolsa 1Kg,BELL'S,S/ 9.40,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Instantánea Regular BELL'S Bolsa 270g,BELL'S,S/ 3.30,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena QUAKER Tradicional Bolsa 500g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Clásica 3 OSITOS Premium Bolsa 900g,3 OSITOS,S/ 13.60,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena SANTA CATALINA con Quinua Bolsa 280g,SANTA CATALINA,S/ 6.20,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena QUAKER con Chía y Algarrobo Bolsa 330g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena con Quinua QUAKER Bolsa 850g,QUAKER,S/ 14.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena QUAKER con Maca Bolsa 330g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Natural SANTA CATALINA Bolsa 900g,SANTA CATALINA,S/ 9.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Clásica 3 OSITOS Bolsa 250g,3 OSITOS,S/ 5.90,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Instantánea de Manzana y Canela BELL'S Vaso 45g,BELL'S,S/ 3.60,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena BELL'S Bolsa 1Kg,BELL'S,S/ 9.40,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Precocida BELL'S Bolsa 170g,BELL'S,S/ 2.80,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena BELL'S Bolsa 500g,BELL'S,S/ 4.80,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena QUAKER Tradicional Bolsa 200g,QUAKER,S/ 4.80,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena QUAKER Hojuelas de Avena Instantánea Caja 350g,QUAKER,S/ 9.29,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Integral MI TIERRA sin Gluten Bolsa 400g,MI TIERRA,S/ 10.90,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Mix AMARU FOODS Lucumango Doypack 400g,AMARU,S/ 9.90,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena NATURANDES 7 Semillas Doypack 240g,NATURANDES,S/ 9.60,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Mix MAMALAMA Cacao + Maca do 500g,MAMALAMA,S/ 20.30,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Clásica 3 OSITOS Bolsa 100g,3 OSITOS,S/ 1.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Proteína NATURANDES Doypack 600g,NATURANDES,S/ 26.90,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,S/ 4.19,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena SANTA CATALINA Maca y Avena Bolsa 150g,SANTA CATALINA,S/ 2.50,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Natural SANTA CATALINA Bolsa 250g,SANTA CATALINA,S/ 3.30,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Clásica 3 OSITOS Bolsa 500g,3 OSITOS,S/ 9.30,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Instantánea BELL'S Manzana y Canela Bolsa 270g,BELL'S,S/ 7.70,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Instantánea de Frutos Rojos BELL'S Vaso 45g,BELL'S,S/ 3.60,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
Avena Instantánea de Chocolate BELL'S Vaso 45g,BELL'S,S/ 3.60,vivanda,AVENA ENVASADA,2024-12-07 13:50:06.373149
