description,brand,price,website,search_term,scrape_timestamp
Harina de Trigo NICOLINI Sin Preparar Bolsa 1Kg,NICOLINI,S/ 6.10,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Barra Nibs de Cacao y Cañihua SIETE DRAGONES Caja 5un,SIETE DRAGONES,S/ 18.80,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Trigo Preparada BLANCA FLOR Bolsa 1Kg,BLANCA FLOR,S/ 8.70,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina sin Preparar BLANCA FLOR Bolsa 1kg,BLANCA FLOR,S/ 7.50,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Trigo Preparada BELL'S Bolsa 1Kg,BELL'S,S/ 7.00,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina sin Preparar MOLITALIA Bolsa 180g,MOLITALIA,S/ 1.20,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Coco GATTI Bolsa 250g,GATTI,S/ 8.40,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Maíz Blanco P.A.N. Precocida Bolsa 1Kg,PAN,S/ 11.30,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina MORIXE de Maiz Blanco Bolsa 1Kg,MORIXE,S/ 7.00,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Maca SUITI Gelatinizada Bolsa 220g,SUITI,S/ 25.20,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Trigo NICOLINI Preparada Bolsa 1Kg,NICOLINI,S/ 6.99,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,BELL'S,S/ 4.40,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina Mix Fibra NATURANDES Doypack 200g,NATURANDES,S/ 20.90,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Avena Integral LA CASA MARIMIEL Doypack 300g,LA CASA MARIMIEL,S/ 13.90,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina Mix Proteína NATURANDES Doypack 216g,NATURANDES,S/ 23.00,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina de Avena MI TIERRA Sin Gluten Bolsa 400g,MI TIERRA,S/ 11.30,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
Harina LA CASA MARIMEL Integral Bolsa 500Gr,LA CASA MARIMIEL,S/ 7.50,vivanda,HARINA SIETE SEMILLAS O MIXTAS,2024-12-07 13:49:03.983547
