description,brand,price,website,search_term,scrape_timestamp
Uva Verde sin Pepa x Kg,VIVANDA,S/ 14.49,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Uva Red Globe,VIVANDA,S/ 13.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Harina de Trigo Preparada BLANCA FLOR Bolsa 1Kg,BLANCA FLOR,S/ 8.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Harina sin Preparar BLANCA FLOR Bolsa 1kg,BLANCA FLOR,S/ 7.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Pre Mezcla para Keke de Vainilla BLANCA FLOR Caja 750g,BLANCA FLOR,S/ 14.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Panetón BLANCA FLOR Chocolate Caja 450g,BLANCA FLOR,S/ 22.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Panetón BLANCA FLOR Bolsa 900g,BLANCA FLOR,S/ 25.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Panetón BLANCA FLOR Caja 900g,BLANCA FLOR,S/ 29.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Pre Mezcla para Panqueque Casero BLANCA FLOR Bolsa 750g,BLANCA FLOR,S/ 9.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Premezcla para Torta de Chocolate BLANCA FLOR Bolsa 750g,BLANCA FLOR,S/ 14.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Pre Mezcla para Keke de Naranja BLANCA FLOR Caja 750g,BLANCA FLOR,S/ 14.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Cebolla Blanca x kg,VIVANDA,S/ 3.79,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Papa Blanca Yungay x kg,VIVANDA,S/ 4.39,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Papa Blanca BELL'S,VIVANDA,S/ 3.69,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca BELL'S Bolsa 1Kg,BELL'S,S/ 5.10,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Papa Blanca Andina,VIVANDA,S/ 4.99,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Papa Blanca Cocktail,VIVANDA,S/ 1.80,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Servilletas de Papel Dobladas SCOTT Gold Blancas Paquete 50un,SCOTT,S/ 4.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Bolsa para Basura VIRUTEX Blanca 15L Planas,VIRUTEX,S/ 5.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca DULFINA Bolsa 1Kg,DULFINA,S/ 5.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Cebollitas Blancas ASPERIO Frasco 370g,ASPERIO,S/ 6.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Salsa Blanca CASAVERDE Frasco 325g,CASAVERDE,S/ 13.30,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Ensal Fruta Melon Mango Uva SOLEI Bandeja 300g,SOLEI,S/ 8.79,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Tostadas Blancas UNIÓN Clásicas Paquete 10un,UNIÓN,S/ 8.20,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca DULFINA Bolsa 2Kg,DULFINA,S/ 10.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,S/ 5.00,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Ultra Quitamanchas CLOROX Ropa Blanca Bolsa Cierre Fácil 450g,CLOROX,S/ 20.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Gelatina UMSHA de Uva Bolsa 120g,UMSHA,S/ 3.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Bebida con Aloe Vera SAPPE Uva Botella 300ml,SAPPE,S/ 6.60,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Jugo de Fruta L'ONDA Cranberry Uva Botella 1.89L,L'ONDA,S/ 18.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Ron BACARDI Carta Blanca Botella 1.75L,BACARDÍ,S/ 85.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Quinua Blanca INCATRAIL Bolsa 500g,INCATRAIL,S/ 10.40,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Quitamanchas Líquido BOREAL Ropa Blanca Botella 1.8mL,BOREAL,S/ 11.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Salchicha Blanca CASA EUROPA Paquete 250g,CASA EUROPA,S/ 14.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Salchicha Blanca SALCHICHERÍA ALEMANA Paquete 300g,SALCHICHERÍA ALEMANA,S/ 12.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Quitamanchas VANISH Ropa Blanca Doypack 450g,VANISH,S/ 27.70,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca CARTAVIO Bolsa 5Kg,CARTAVIO,S/ 25.29,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Quinua Listo para Comer ANDES GOLD Blanca Doypack 240g,ANDES GOLD,S/ 8.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca DULFINA Bolsa 5Kg,DULFINA,S/ 25.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,SPORADE,S/ 2.40,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Azúcar Blanca BELL'S Bolsa 5Kg,BELL'S,S/ 24.40,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Salsa Blanca CASA VERDE Doypack 150g,CASAVERDE,S/ 4.60,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Rehidratante FLASHLYTE Sabor a Uva Botella 625ml,FLASHLYTE,S/ 6.00,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Pimienta Blanca Molida BELL'S Sobre 15g,BELL'S,S/ 3.20,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Quitamanchas en Polvo LA OCA Ropa Blanca Pote 500g,LA OCA,S/ 28.50,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Servilletero VIVA HOME Porcelana Blanca Rayas,VIVA HOME,S/ 9.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
Plato de Entrada VIVA HOME Porcelana Blanca Rayas,VIVA HOME,S/ 9.90,vivanda,UVA BLANCA,2024-12-07 14:22:44.616664
