description,brand,price,website,search_term,scrape_timestamp
Gaseosa INCA KOLA Sin Azúcar Botella 300ml Paquete 6un,INCA KOLA,S/ 10.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 300ml Paquete 6un,COCA COLA,S/ 10.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Coco LAIVE Vio sin Endulzante Tetrapack 946ml,LAIVE,S/ 9.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar 2Pack Botella 1.5L,COCA COLA,S/ 11.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sabor Original Botella 500ml Six Pack,INCA KOLA,S/ 15.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Avena NATURES HEART Caja 946ml Paquete 2un,NATURE'S HEART,S/ 18.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendras NATURE'S HEART Almendra y Coco Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra NATURE'S HEART sin Azúcar 946ml Paquete 6un,NATURE'S HEART,S/ 47.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SCHWEPPES Citrus Botella 1.5 L Two Pack,SCHWEPPES,S/ 11.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sabor Original Botella 1L Two Pack,COCA COLA,S/ 8.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra NATURE'S HEART Sin Azúcar Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Tropical Fruit Botella 500ml Paquete 6un,GATORADE,S/ 12.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 500ml Paquete 6un,INCA KOLA,S/ 15.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Coco NATURE'S HEART Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 1L,COCA COLA,S/ 4.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SCHWEPPES Ginger Ale Botella 1.5L Two Pack,SCHWEPPES,S/ 11.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar 6 Pack Botella 500ml,COCA COLA,S/ 15.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SPRITE Botella 500ml Six Pack,SPRITE,S/ 13.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra LAIVE Vio sin Endulzante Tetrapack 946ml,LAIVE,S/ 9.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA + INCA KOLA Botella 3L Paquete 2un,COCA COLA,S/ 20.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra sin Azúcar NATURES HEART Caja 946ml Paquete 2un,NATURE'S HEART,S/ 18.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 2.25L,COCA COLA,S/ 9.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Coco y Vainilla NATURE'S HEART sin Azúcar Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Botella 2.5L,COCA COLA,S/ 9.49,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 1.5L Paquete 2Un,INCA KOLA,S/ 11.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa EVERVESS Ginger Ale Botella 1.5L Pack 2un,EVERVESS,S/ 10.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Original Botella 3L,COCA COLA,S/ 11.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sabor Original Botella 3L Two Pack,COCA COLA,S/ 20.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 1.5L,COCA COLA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Manzana Beetlejuice Botella 500ml,FANTA,S/ 2.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 1L,INCA KOLA,S/ 4.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SPRITE Lima Limón Botella 3L,SPRITE,S/ 7.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,SPORADE,S/ 5.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida FRUGOS Mango y Fresa Caja 1L,FRUGOS,S/ 4.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SUEROX Surtido Botella 630ml Paquete 4un,SUEROX,S/ 19.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Vegetal NOT MILK Low Fat Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 300ml Paquete 6un,INCA KOLA,S/ 16.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Lata 350ml,COCA COLA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sabor Original Botella 3L,INCA KOLA,S/ 11.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida FRUGOS Sabor a Mango Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Coco NATURES HEART sin Azúcar Botella 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sabor Original Botella 500ml Six Pack,COCA COLA,S/ 15.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI + 7UP + CONCORDIA Naranja Botella 3L Paquete 3un,PEPSI,S/ 18.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Avena ORASI Caja 1L,ORASI,S/ 14.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Arándanos L'ONDA con Té Verde Botella 1L,L ONDA,S/ 8.99,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra LAIVE Vio Caja 946ml Paquete 2un,LAIVE,S/ 18.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Aloe KERO Piña Botella 300ml,KERO,S/ 3.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella 630ml,SUEROX,S/ 6.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SPORADE Sabores Surtidos Botella 500ml Paquete 6un,SPORADE,S/ 9.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sabor Original Botella 500ml,INCA KOLA,S/ 3.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SPRITE Botella 2.25L,SPRITE,S/ 6.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa EVERVESS Ginger Ale Botella 1.5L,EVERVESS,S/ 6.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
