description,brand,price,website,search_term,scrape_timestamp
Cereales ANGEL LIFE Fibra Caja 560g,ÁNGEL,S/ 21.50,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NESTLÉ FITNESS Caja 285g,NESTLE FITNESS,S/ 14.30,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal UNIÓN Granola con miel de abeja Doypack 400g,UNIÓN,S/ 15.50,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal UNIÓN Granola Pasas y Almendras Doypack 400g,UNIÓN,S/ 16.49,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal KELLOGGS Corn Flakes Caja 410g,KELLOGG S,S/ 13.10,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereales ÁNGEL Life Protein Caja 560g,ANGEL,S/ 21.50,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal UNIÓN Granola con Granos Andinos Doypack 280g,UNIÓN,S/ 15.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal de Avena Maíz y Trigo ANGEL Meli Bolsa 420g,ANGEL,S/ 16.10,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NESTLÉ Corn Flakes sin Gluten Bolsa 740g,NESTLÉ,S/ 20.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal ÁNGEL Zuck Hojuelas de Maíz Azucaradas Bolsa 1Kg,ANGEL,S/ 22.80,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal GRANO DE ORO Salvado de Avena Doypack 300g,GRANO DE ORO,S/ 9.40,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal CROSOY Granola manzana pecana y canela Bolsa 380Gr,CROSOY,S/ 14.20,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal en Barra MCCALLUM'S Almendras Caja 6un,MCCALLUM S,S/ 14.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal MCCALLUM'S Multicereal con Arándanos Caja 350g,MCCALLUM S,S/ 13.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NESTLÉ TRIX Bolsa 90g,TRIX,S/ 5.00,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal Müsli Arándanos KELLOGGS Caja 275g,KELLOGG S,S/ 24.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NATURANDES Harina de Ajonjoli Bolsa 200g,NATURANDES,S/ 13.80,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal MCCALLUM'S Multicereal con Manzana Caja 350g,MCCALLUM S,S/ 13.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NATURANDES Harina de linaza Bolsa 300Gr,NATURANDES,S/ 10.00,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NESTLÉ Kitkat Caja 210g,NESTLÉ,S/ 13.50,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal en Barra NATURA VALLEY Crunchy Miel y Avena Caja 253g,NATURE VALLEY,S/ 27.10,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal KELLOGGS Zucaritas Caja 420g,KELLOGG S,S/ 15.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal KELLOGGS Musli Manzana Caja 275g,KELLOGG S,S/ 24.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal CHOCAPIC Caja 540g,CHOCAPIC,S/ 23.80,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal WASI Protein Bites Maca y Yacón Caja 240g,WASI,S/ 18.50,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NATURANDES Harina 7 semillas Bolsa 200Gr,NATURANDES,S/ 10.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal ANGEL Trigo integral de avena y maíz sabor fresa Bolsa 350Gr,ANGEL,S/ 16.10,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal KELLOGGS Froot Loops Caja 350g,KELLOGG S,S/ 15.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal CUZCO MARA Grano de kiwicha Bolsa 100Gr,OLLA DE BARRO,S/ 9.79,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal de Quinua MAMALAMA Canela Caja 240g,MAMALAMA,S/ 22.40,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal NESTLE Trix Mini Caja 300g,TRIX,S/ 8.49,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal BELL'S Corn Flakes Azucarados Bolsa 500g,BELL'S,S/ 9.40,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal AGE Salvado de Trigo Molido Bolsa 500g,AGE,S/ 15.70,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal Marshmellows TRIX Caja 300g,TRIX,S/ 20.90,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
Cereal ÁNGEL Copix Chocolate Bolsa 740g,ÁNGEL,S/ 22.80,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-03 23:25:57.508697
