description,brand,price,website,search_term,scrape_timestamp
Espinaca Baby BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 4.39,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Espinaca BELL'S FRESCOS Bolsa 350g,BELL'S FRESCOS,S/ 4.19,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Espinaca Bebé VIVA Bolsa 120g,VIVA,S/ 7.59,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Espinaca VIVA Bolsa 400g,VIVA,S/ 7.59,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Espinaca Extra EL CORTE INGLÉS Frasco 600g,EL CORTE INGLÉS,S/ 9.80,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Hamburguesa de Garbanzos y Espinacas SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Quiche de Tomate y Espinaca HOME CHEF Caja 1un,HOME CHEF,S/ 28.50,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Ravioles DON ITALO De Ricotta con Espinaca Bandeja 500g,DON ITALO,S/ 30.00,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Queso Crema Gourmet DELICE con Espinaca & Tocino Paquete 150g,DELICE,S/ 16.90,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Ravioles de Ricotta y Espinaca IL PASTIFICIO Bandeja 500g,IL PASTIFICIO,S/ 30.90,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Fideos SANTA CATALINA Espinaca y albahaca Bolsa 400Gr,SANTA CATALINA,S/ 5.30,vivanda,ESPINACA,2024-12-04 00:48:06.735871
Raviolito Ricotta y Espinaca Kids ILPASTIFICIO Caja 400g,ILPASTIFICIO,S/ 18.10,vivanda,ESPINACA,2024-12-04 00:48:06.735871
